period,calendar_year,calendar_month,year_month,revenue,other_operating_income,operating_costs,non_core_operating_items,ebitda_adjustments,ebitda,ebit,financial_result,ebt,income_tax,net_profit,ebitda_margin,ebit_margin,ebt_margin,net_profit_margin,cash_balance,inventory_balance,receivables_balance,other_current_assets_balance,current_assets,current_liabilities_balance,net_working_capital,operating_working_capital,nwc_change,current_ratio,quick_ratio,cash_ratio,dso_days,dio_days,dpo_days,cash_conversion_cycle_days,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_cash_change,opening_cash,closing_cash,free_cash_flow,ebitda_status,working_capital_status,liquidity_status,cash_flow_status,month,quarter,month_sin,month_cos,revenue_lag_1,revenue_lag_3,revenue_lag_12,ebitda_lag_1,ebitda_lag_12,net_profit_lag_1,net_profit_lag_12,cash_lag_1,cash_lag_12,nwc_lag_1,nwc_lag_12,revenue_rolling_3m,revenue_rolling_6m,revenue_rolling_12m,ebitda_rolling_3m,cash_rolling_3m,revenue_mom_pct,revenue_yoy_pct,ebitda_yoy_pct,net_profit_yoy_pct,ebitda_margin_change_pp,net_margin_change_pp
2021-11-01,2021,11,2021-11,-9112830.13,-16196880.4,-38195722.4,-28132539.0,-2676471.68,-91637971.93,-94314443.61,-3905442.28,-98219885.89,-13646041.53,-111865927.42,10.055928907126463,10.349632580059955,10.778197825355491,12.275651562046619,231884317.25,125680144.68,-58347869.43,0.0,299216592.5,-1033636692.73,1332853285.23,1100968967.98,49767193.85,-0.28947946082459697,-0.16788921004890264,-0.22433831817401567,,94.3488055458273,-797.1627547539198,891.5115602997471,-140638714.18,0.0,-38697423.87,-179336138.05,213566381.84,231884317.25,-140638714.18,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,11,4,-0.5000000000000004,0.8660254037844384,-5918231.21,-8762319.16,,-136624532.92,,-145568194.22,,213566381.84,,1283086091.38,,-7665083.236666667,-8229315.383333334,-8109561.5190909095,-130896616.11333334,211430847.20666668,53.97894753760391,,,,-1302.9436985498069,-1232.0919449581702
2021-12-01,2021,12,2021-12,-8402233.72,-4199216.8,-44379408.43,-90196451.0,-3439204.74,-147177309.95,-150616514.69,-603082.41,-151219597.1,-4868867.36,-156088464.46,17.51645036958101,17.9257706592337,17.99754709751159,18.57702007127695,252587912.34,140766020.43,-85564398.82,0.0,307789533.95,-1046671652.99,1354461186.94,1101873274.6,21607901.71,-0.2940650327834384,-0.1595758450540513,-0.24132488122558646,,93.05927467958816,-726.5707340267942,819.6300087063823,-153553566.34,0.0,-4606816.06,-158160382.4,231884317.25,252587912.34,-153553566.34,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,12,4,-2.4492935982947064e-16,1.0,-9112830.13,-7964188.37,,-91637971.93,,-111865927.42,,231884317.25,,1332853285.23,,-7811098.353333334,-8323660.711666666,-8133950.869166668,-125146604.93333332,232679537.14333335,-7.797757665433402,,,,746.0521462454545,630.1368509230333
2022-01-01,2022,1,2022-01,-6739553.95,-2581222.8,-34991924.84,-8859600.0,-3175438.11,-53172301.59,-56347739.7,1461477.4,-54886262.3,-6602601.56,-61488863.86,7.889587646968832,8.360752079149096,8.143901318573167,9.123580628062188,271483763.22,151061997.87,-111312961.11,0.0,311232799.98,-1058618959.46,1369851759.44,1098367996.22,15390572.5,-0.29399889091232545,-0.15130165644464075,-0.25645087951049306,,129.26794694298388,-932.558144262835,1061.826091205819,-54808147.37,0.0,1113099.28,-53695048.09,252587912.34,271483763.22,-54808147.37,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,1,1,0.49999999999999994,0.8660254037844387,-8402233.72,-5918231.21,-9271506.6,-147177309.95,-260070325.05,-156088464.46,-277645817.88,252587912.34,26317810.49,1354461186.94,218482248.36,-8084872.600000001,-7816559.423333335,-7922954.815,-97329194.49000001,251985330.9366667,-19.78854463477124,-27.308966700190883,-79.55464485239624,-77.85348818523325,-962.6862722612177,-945.3439443214764
2022-02-01,2022,2,2022-02,-7930526.78,-2571496.0,-38551819.03,-5604666.0,-4058739.57,-54658507.81,-58717247.38,-2676224.25,-61393471.63,-2840250.66,-64233722.29,6.892166097697737,7.403952979274853,7.74141155223487,8.099553040031472,292174107.79,161806657.42,-140390193.57,0.0,313590571.64,-1277602993.81,1591193565.45,1299019457.66,221341806.01,-0.24545228303263975,-0.11880366197903,-0.22868927922491308,,113.61749676847869,-848.3933616810195,962.0108584494982,-260826444.16,0.0,-212394258.58,-473220702.74,271483763.22,292174107.79,-260826444.16,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,2,1,0.8660254037844386,0.5000000000000001,-6739553.95,-9112830.13,-5795763.39,-53172301.59,-260247719.44,-61488863.86,-282529855.98,271483763.22,44231047.42,1369851759.44,552201182.17,-7690771.483333334,-7677927.36,-8100851.764166667,-85002706.45,272081927.78333336,17.67138951384164,36.83317013395195,-78.99750747956065,-77.26480195617025,-99.74215492710954,-102.40275880307159
2022-03-01,2022,3,2022-03,-9632863.55,-6210612.4,-41011832.48,-210633650.0,-6340938.03,-267488958.43,-273829896.46,-1250683.38,-275080579.84,-5278835.86,-280359415.7,27.76837407086494,28.426635033151694,28.556470089312125,29.10447285428433,316370814.37,174940018.21,-166028074.92,0.0,325282757.66,-1300327971.96,1625610729.62,1309239915.25,34417164.17,-0.2501543954097191,-0.11561909202290448,-0.24330078348859208,,127.26994032296408,-974.3024769478674,1101.5724172708315,-284238935.26,0.0,-29866666.0,-314105601.26,292174107.79,316370814.37,-284238935.26,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,3,1,1.0,6.123233995736766e-17,-7930526.78,-8402233.72,-7779051.09,-54658507.81,-228296070.0,-64233722.29,-258809270.51,292174107.79,68369894.73,1591193565.45,592804313.03,-8100981.426666667,-7956039.890000001,-8255336.135833334,-125106589.27666669,293342895.1266667,21.46562034558819,23.830830245903446,17.16757035283174,8.32665118507312,2087.6207973167207,2100.4919814252858
2022-04-01,2022,4,2022-04,-8326267.13,-4278282.4,-39388497.23,-98530357.0,-3531332.14,-150523403.76,-154054735.9,-1587268.92,-155642004.82,-5267693.6,-160909698.42,18.078137706830937,18.502257193374483,18.69289111073716,19.325550802980302,342293746.73,184838100.46,-193563500.44,0.0,333568346.75,-1385536686.21,1719105032.96,1376811286.23,93494303.34,-0.24075028115094055,-0.10734486338058434,-0.24704776866378836,,137.01136523532202,-1022.8359217996498,1159.8472870349717,-224949737.26,0.0,-70696646.59,-295646383.85,316370814.37,342293746.73,-224949737.26,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,4,2,0.8660254037844387,-0.4999999999999998,-9632863.55,-6739553.95,-9210169.6,-267488958.43,-66242093.54,-280359415.7,-83187645.21,316370814.37,85663569.92,1625610729.62,700982076.97,-8629885.820000002,-8357379.210000001,-8181677.596666667,-157556956.66666666,316946222.96333337,-13.563946101987511,-9.597027073203945,127.23225628294355,93.42980320430685,-969.0236364034004,-977.8922051304029
2022-05-01,2022,5,2022-05,-8852259.05,-18507476.8,-39878691.19,-10540319.0,-3232746.72,-77778746.04,-81011492.76,-4697206.19,-85708698.95,-3959590.98,-89668289.93,8.78631608052636,9.151504977703969,9.682127292693723,10.129424525822028,358748160.69,196394238.65,-205990395.05,0.0,349152004.29,-1492064795.56,1841216799.85,1482468639.16,122111766.89,-0.23400592610253007,-0.1023801151897476,-0.24043738700728146,,148.17691052224825,-1118.4625582351014,1266.6394687573497,-192092896.14,0.0,-100527499.94,-292620396.08,342293746.73,358748160.69,-192092896.14,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,5,2,0.49999999999999994,-0.8660254037844387,-8326267.13,-7930526.78,-7772793.73,-150523403.76,-127720058.83,-160909698.42,-139479566.55,342293746.73,103260386.43,1719105032.96,873499946.87,-8937129.910000002,-8313950.696666668,-8271633.04,-165263702.74333334,339137573.93,6.317259725007185,13.88773917714654,-39.10216863936281,-35.71223932800499,-929.1821626304577,-919.6126277158274
2022-06-01,2022,6,2022-06,-8053369.06,-6185940.0,-38844651.89,-167666902.0,-2877514.74,-220750862.95,-223628377.69,705933.18,-222922444.51,-5647822.37,-228570266.88,27.410995485906614,27.76830119468038,27.680644317820448,28.381943653281425,376519759.96,212040484.04,-228640152.19,0.0,359920091.81,-1572215126.12,1932135217.93,1555615457.97,90918418.08,-0.22892547325774104,-0.09405812557912831,-0.23948361372733795,,157.71851573542315,-1183.2825521351326,1341.0010678705557,-298839570.95,0.0,-65339259.84,-364178830.79,358748160.69,376519759.96,-298839570.95,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,6,2,1.2246467991473532e-16,-1.0,-8852259.05,-9632863.55,-7836161.75,-77778746.04,-156928506.59,-89668289.93,-173505136.57,358748160.69,124641428.4,1841216799.85,1004496996.48,-8410631.746666668,-8255806.586666667,-8289733.649166667,-149684337.58333334,359187222.46000004,-9.024701892337884,2.771858429287777,40.66970224010718,31.736887678702352,1862.4679405380257,1825.2519127459398
2022-07-01,2022,7,2022-07,-9304011.06,-107199837.2,-38810811.46,-50021670.0,-2712252.79,-205336329.72,-208048582.51,-506144.77,-208554727.28,-11867281.14,-220422008.42,22.06965666698165,22.361171022726623,22.41557172869483,23.691073344446348,399190791.03,224186108.09,-149981539.01,0.0,473395360.11,-1669025509.04,2142420869.15,1743230078.12,210285651.22,-0.28363578480133017,-0.14931422597809285,-0.23917596757380236,,174.217232870374,-1294.464814186083,1468.682047056457,-405324375.78,0.0,-87394992.26,-492719368.04,376519759.96,399190791.03,-405324375.78,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,7,3,-0.4999999999999997,-0.8660254037844388,-8053369.06,-8326267.13,-9782161.68,-220750862.95,-160383077.65,-228570266.88,-164809654.02,376519759.96,147560992.98,1932135217.93,1135442151.77,-8736546.390000002,-8683216.105,-8249887.764166667,-167955312.90333334,378152903.8933334,15.529426140567315,-4.887985249493432,28.028675299585124,33.74338398480668,-534.1338818924963,-469.0870308835077
2022-08-01,2022,8,2022-08,-9316910.21,-23707656.4,-39285656.12,-282647910.0,-24715702.99,-354958132.73,-379673835.72,-4477804.37,-384151640.09,-8115637.06,-392267277.15,38.098266992958386,40.75104591138911,41.231656357242066,42.10272164359519,418652218.16,235398043.54,-159710481.83,0.0,494339779.87,-1766715383.54,2261055163.41,1842402945.25,118634294.26,-0.27980725388799316,-0.14656675248457604,-0.2369664191869654,,181.32710647636245,-1355.5579591778496,1536.8850656542122,-466724441.29,0.0,-99719921.65,-566444362.94,399190791.03,418652218.16,-466724441.29,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,8,3,-0.8660254037844385,-0.5000000000000004,-9304011.06,-8852259.05,-8762319.16,-205336329.72,-58121752.51,-220422008.42,-69690408.92,399190791.03,171094202.81,2142420869.15,1166891738.4,-8891430.110000001,-8914280.01,-8296103.685,-260348441.79999998,398120923.05,0.13864074232947665,6.329272420613363,510.7147795808954,462.87125191114455,1602.8610325976736,1841.164829914884
2022-09-01,2022,9,2022-09,-8226871.5,-2488691.6,-41230429.69,-13070293.0,-14319047.54,-65016285.79,-79335333.33,-6275670.54,-85611003.87,-2062274.22,-87673278.09,7.902917383600801,9.643438982850284,10.406264868729261,10.65694025851747,437487280.22,241550629.71,-189380197.81,0.0,489657712.12,-1785050737.48,2274708449.6,1837221169.38,13653286.19,-0.27431024891273503,-0.13899161362788987,-0.2450839469345345,,173.51820372818435,-1292.1643605431948,1465.682564271379,-68172454.68,0.0,-2856989.92,-71029444.6,418652218.16,437487280.22,-68172454.68,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,9,3,-1.0,-1.8369701987210297e-16,-9316910.21,-8053369.06,-7964188.37,-354958132.73,-164427343.49,-392267277.15,-184849114.96,418652218.16,188841842.53,2261055163.41,1188640847.81,-8949264.25666667,-8679948.001666667,-8317993.945833333,-208436916.08,418443429.8033333,-11.69957298536637,3.2983038295464118,-60.4589574884459,-52.570355498336106,-3019.5349609357586,-3144.578138507772
2022-10-01,2022,10,2022-10,-6788009.97,-86408.8,-35795411.35,-47468366.0,-10526613.23,-90138196.12,-100664809.35,-724778.03,-101389587.38,-9661041.13,-111050628.51,13.279031191523131,14.829796920584075,14.936570191867293,16.359821066968763,450631168.47,256326545.33,-219107736.42,0.0,487849977.38,-1817673523.57,2305523500.95,1854892332.48,30815051.35,-0.26839251991844976,-0.12737349642155574,-0.24791645068633572,,215.58897976234599,-1560.0386736797482,1775.627653442094,-118195178.38,0.0,-38663997.51,-156859175.89,437487280.22,450631168.47,-118195178.38,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,10,4,-0.8660254037844386,0.5000000000000001,-8226871.5,-9304011.06,-5918231.21,-65016285.79,-136624532.92,-87673278.09,-145568194.22,437487280.22,213566381.84,2274708449.6,1283086091.38,-8110597.2266666675,-8423571.808333334,-8390475.509166667,-170037538.21333334,435590222.2833333,-17.489777614734837,14.696599864674775,-34.02488250570628,-23.712299170128425,537.611380792233,570.2880808451293
2022-11-01,2022,11,2022-11,-9281059.91,-52954004.8,-42880086.98,-62656869.0,-12643461.55,-167772020.69,-180415482.24,-4517455.89,-184932938.13,-12387747.71,-197320685.84,18.07681690635698,19.439103290951603,19.92584251403674,21.260576674803513,473749027.81,271216415.38,-195790062.02,0.0,549175381.17,-1955182628.9,2504358010.07,2030608982.26,198834509.12,-0.2808818844094222,-0.14216521857417572,-0.2423042332759138,,184.54123972138453,-1319.7930851550245,1504.334324876409,-360393874.07,0.0,-127284197.92,-487678071.99,450631168.47,473749027.81,-360393874.07,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,11,4,-0.5000000000000004,0.8660254037844384,-6788009.97,-9316910.21,-9112830.13,-90138196.12,-91637971.93,-111050628.51,-111865927.42,450631168.47,231884317.25,2305523500.95,1332853285.23,-8098647.126666668,-8495038.618333332,-8404494.6575,-107642167.53333335,453955825.5,36.727258077377286,1.8460761102763845,83.08133315974835,76.39033653130195,479.778571483385,490.075560783475
2022-12-01,2022,12,2022-12,-8903025.09,-16948272.8,-38676518.46,-19882172.0,-6384711.43,-84409988.35,-90794699.78,-4599269.86,-95393969.64,-10337784.76,-105731754.4,9.481045767781836,10.198185320401024,10.71478162486005,11.875935800603253,493126069.57,281786608.87,-211031209.33,0.0,563881469.11,-2082958847.61,2646840316.72,2153714247.15,142482306.65,-0.2707117664648061,-0.1354298768617908,-0.23674306870527756,,221.6214700074377,-1618.3254175434124,1839.94688755085,-222452307.86,0.0,-111056099.11,-333508406.97,473749027.81,493126069.57,-222452307.86,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,12,4,-2.4492935982947064e-16,1.0,-9281059.91,-8226871.5,-8402233.72,-167772020.69,-147177309.95,-197320685.84,-156088464.46,473749027.81,252587912.34,2504358010.07,1354461186.94,-8324031.656666667,-8636647.956666667,-8446227.271666666,-114106735.05333333,472502088.6166666,-4.073185860945494,5.960217088557718,-42.64741733717222,-32.2616474152737,-859.5771138575145,-938.464087420026
2023-01-01,2023,1,2023-01,-8469215.64,-10269110.8,-41138510.56,-73986569.0,-2661064.34,-133863406.0,-136524470.34,2393311.92,-134131158.42,-8860448.16,-142991606.58,15.805879988196876,16.120084331681984,15.837494771829897,16.883689429827765,517000520.86,293304164.24,-232217652.42,0.0,578087032.68,-2152521071.14,2730608103.82,2213607582.96,83767787.1,-0.26856277526418754,-0.1323020119330008,-0.24018372121495218,,216.68035283397484,-1595.8268261772723,1812.5071790112472,-200223878.05,0.0,-62012807.41,-262236685.46,493126069.57,517000520.86,-200223878.05,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,1,1,0.49999999999999994,0.8660254037844387,-8903025.09,-6788009.97,-6739553.95,-84409988.35,-53172301.59,-105731754.4,-61488863.86,493126069.57,271483763.22,2646840316.72,1369851759.44,-8884433.546666669,-8497515.386666667,-8590365.745833335,-128681805.01333332,494625206.08,-4.872607294876207,25.66433480364083,151.75401853429528,132.54878624130754,632.483422041504,500.77536292245117
2023-02-01,2023,2,2023-02,-8573483.27,-74932982.4,-34854876.07,-90894807.0,-1779069.28,-209256148.74,-211035218.02,-1683643.23,-212718861.25,-10756005.02,-223474866.27,24.407366545196513,24.61487488503608,24.811252853824023,26.065819367954514,535143377.21,302757953.69,-185119353.54,0.0,652781977.36,-2184299424.67,2837081402.03,2301938024.82,106473298.21,-0.2988518744213015,-0.16024544058234186,-0.24499543018963552,,239.41756769585896,-1741.9510205517136,1981.3685882475725,-310026238.85,0.0,-25958100.82,-335984339.67,517000520.86,535143377.21,-310026238.85,NEGATIVE_EBITDA,POSITIVE_NWC,LIQUIDITY_RISK,CASH_OUTFLOW,2,1,0.8660254037844386,0.5000000000000001,-8469215.64,-9281059.91,-7930526.78,-133863406.0,-54658507.81,-142991606.58,-64233722.29,517000520.86,292174107.79,2730608103.82,1591193565.45,-8648574.666666668,-8373610.896666666,-8643945.453333335,-142509847.6966667,515089989.21333337,1.2311367950952112,8.107361690291137,282.84277621958006,247.90894611566193,860.1486556999637,918.212993812675
