calendar_year,calendar_month,year_month,period,account_number,account_name,management_group,management_line,actual_amount,plan_amount,variance,contribution_pct,variance_contribution_pct,metric,driver_direction,driver_rank,root_cause_status,analysis_level
2021,5,2021-05,2021-05-01,601,Revenues from own products,Revenue,Sales Revenue,-790847.0,0.0,-790847.0,10.174552773060658,-10.174552773060658,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,5,2021-05,2021-05-01,602,Revenues from services,Revenue,Sales Revenue,-6750628.83,0.0,-6750628.83,86.84945290578294,-86.84945290578294,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,5,2021-05,2021-05-01,604,Revenues from goods,Revenue,Sales Revenue,-231317.9,0.0,-231317.9,2.9759943211563904,-2.9759943211563904,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,6,2021-06,2021-06-01,601,Revenues from own products,Revenue,Sales Revenue,1127553.62,0.0,1127553.62,11.173556280358355,14.38910599312221,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,6,2021-06,2021-06-01,602,Revenues from services,Revenue,Sales Revenue,-8372339.71,0.0,-8372339.71,82.96617321663527,-106.8423544217933,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,6,2021-06,2021-06-01,604,Revenues from goods,Revenue,Sales Revenue,-591375.66,0.0,-591375.66,5.860270503006381,-7.546751571328911,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,7,2021-07,2021-07-01,601,Revenues from own products,Revenue,Sales Revenue,-661292.88,0.0,-661292.88,6.760191679841466,-6.760191679841466,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,7,2021-07,2021-07-01,602,Revenues from services,Revenue,Sales Revenue,-8347773.7,0.0,-8347773.7,85.33669727691519,-85.33669727691519,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,7,2021-07,2021-07-01,604,Revenues from goods,Revenue,Sales Revenue,-773095.1,0.0,-773095.1,7.903111043243357,-7.903111043243357,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,8,2021-08,2021-08-01,601,Revenues from own products,Revenue,Sales Revenue,467749.23,0.0,467749.23,4.8232421801308325,5.3381898269042285,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,8,2021-08,2021-08-01,602,Revenues from services,Revenue,Sales Revenue,-8697619.77,0.0,-8697619.77,89.68636151769577,-99.26161797101216,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,8,2021-08,2021-08-01,604,Revenues from goods,Revenue,Sales Revenue,-532448.62,0.0,-532448.62,5.490396302173396,-6.076571855892089,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,9,2021-09,2021-09-01,601,Revenues from own products,Revenue,Sales Revenue,706771.96,0.0,706771.96,7.311519006125448,8.874375230278488,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,9,2021-09,2021-09-01,602,Revenues from services,Revenue,Sales Revenue,-8815371.37,0.0,-8815371.37,91.19455632876145,-110.68763018220776,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,9,2021-09,2021-09-01,604,Revenues from goods,Revenue,Sales Revenue,144411.04,0.0,144411.04,1.4939246651131186,1.81325495192927,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,10,2021-10,2021-10-01,601,Revenues from own products,Revenue,Sales Revenue,1291770.02,0.0,1291770.02,13.407106359516439,21.82696103216285,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,10,2021-10,2021-10-01,602,Revenues from services,Revenue,Sales Revenue,-7776598.16,0.0,-7776598.16,80.7122607214091,-131.40071558643953,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,10,2021-10,2021-10-01,604,Revenues from goods,Revenue,Sales Revenue,566596.93,0.0,566596.93,5.880632919074474,9.573754554276698,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,11,2021-11,2021-11-01,601,Revenues from own products,Revenue,Sales Revenue,515674.36,0.0,515674.36,5.083450988248299,5.658772880033921,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2021,11,2021-11,2021-11-01,602,Revenues from services,Revenue,Sales Revenue,-9221866.55,0.0,-9221866.55,90.90796491625343,-101.19651544519684,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,11,2021-11,2021-11-01,604,Revenues from goods,Revenue,Sales Revenue,-406637.94,0.0,-406637.94,4.008584095498277,-4.462257434837095,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,12,2021-12,2021-12-01,601,Revenues from own products,Revenue,Sales Revenue,207141.66,0.0,207141.66,2.349472689274131,2.465316568223242,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2021,12,2021-12,2021-12-01,602,Revenues from services,Revenue,Sales Revenue,-8360867.31,0.0,-8360867.31,94.83186242443877,-99.50767365704748,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2021,12,2021-12,2021-12-01,604,Revenues from goods,Revenue,Sales Revenue,-248508.07,0.0,-248508.07,2.818664886287114,-2.957642911175768,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,1,2022-01,2022-01-01,601,Revenues from own products,Revenue,Sales Revenue,642383.11,0.0,642383.11,7.142477065343988,9.531537469182215,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,1,2022-01,2022-01-01,602,Revenues from services,Revenue,Sales Revenue,-7866698.03,0.0,-7866698.03,87.46760209691962,-116.72431274179502,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,1,2022-01,2022-01-01,604,Revenues from goods,Revenue,Sales Revenue,484760.97,0.0,484760.97,5.389920837736387,7.192775272612812,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,2,2022-02,2022-02-01,601,Revenues from own products,Revenue,Sales Revenue,-168011.23,0.0,-168011.23,1.980010214944168,-2.1185380827879885,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,2,2022-02,2022-02-01,602,Revenues from services,Revenue,Sales Revenue,-8039938.1,0.0,-8039938.1,94.75056855139269,-101.37962235088752,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,2,2022-02,2022-02-01,604,Revenues from goods,Revenue,Sales Revenue,277422.55,0.0,277422.55,3.2694212336631256,3.498160433675504,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,3,2022-03,2022-03-01,601,Revenues from own products,Revenue,Sales Revenue,-26597.39,0.0,-26597.39,0.2761109389948745,-0.2761109389948745,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,3,2022-03,2022-03-01,602,Revenues from services,Revenue,Sales Revenue,-9154658.19,0.0,-9154658.19,95.0356884272486,-95.0356884272486,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,3,2022-03,2022-03-01,604,Revenues from goods,Revenue,Sales Revenue,-451607.97,0.0,-451607.97,4.688200633756511,-4.688200633756511,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,4,2022-04,2022-04-01,601,Revenues from own products,Revenue,Sales Revenue,131724.05,0.0,131724.05,1.5335089286772545,1.582030073541491,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,4,2022-04,2022-04-01,602,Revenues from services,Revenue,Sales Revenue,-8259096.41,0.0,-8259096.41,96.15099207427392,-99.19326729552095,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,4,2022-04,2022-04-01,604,Revenues from goods,Revenue,Sales Revenue,-198894.77,0.0,-198894.77,2.315498997048823,-2.388762778020551,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,5,2022-05,2022-05-01,601,Revenues from own products,Revenue,Sales Revenue,-566839.17,0.0,-566839.17,6.403327860135318,-6.403327860135318,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,5,2022-05,2022-05-01,602,Revenues from services,Revenue,Sales Revenue,-8052342.73,0.0,-8052342.73,90.96370411799009,-90.96370411799009,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,5,2022-05,2022-05-01,604,Revenues from goods,Revenue,Sales Revenue,-233077.15,0.0,-233077.15,2.6329680218745968,-2.6329680218745968,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,6,2022-06,2022-06-01,601,Revenues from own products,Revenue,Sales Revenue,584735.63,0.0,584735.63,5.876475517259684,7.260757897018569,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,6,2022-06,2022-06-01,602,Revenues from services,Revenue,Sales Revenue,-9001908.44,0.0,-9001908.44,90.46736993993903,-111.77816852714808,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,6,2022-06,2022-06-01,604,Revenues from goods,Revenue,Sales Revenue,363803.75,0.0,363803.75,3.65615454280127,4.517410630129498,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,7,2022-07,2022-07-01,601,Revenues from own products,Revenue,Sales Revenue,-95449.96,0.0,-95449.96,1.0259011880409352,-1.0259011880409352,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,7,2022-07,2022-07-01,602,Revenues from services,Revenue,Sales Revenue,-8846777.73,0.0,-8846777.73,95.08563213165398,-95.08563213165398,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,7,2022-07,2022-07-01,604,Revenues from goods,Revenue,Sales Revenue,-361783.37,0.0,-361783.37,3.8884666803050854,-3.8884666803050854,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,8,2022-08,2022-08-01,601,Revenues from own products,Revenue,Sales Revenue,-318838.34,0.0,-318838.34,3.170769594170516,-3.4221467505159096,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,8,2022-08,2022-08-01,602,Revenues from services,Revenue,Sales Revenue,-9367392.05,0.0,-9367392.05,93.15643121468584,-100.54183027272086,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,8,2022-08,2022-08-01,604,Revenues from goods,Revenue,Sales Revenue,369320.18,0.0,369320.18,3.6727991911436426,3.963977023236762,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,9,2022-09,2022-09-01,601,Revenues from own products,Revenue,Sales Revenue,-1054267.24,0.0,-1054267.24,9.634298817182597,-12.814922902345078,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,9,2022-09,2022-09-01,602,Revenues from services,Revenue,Sales Revenue,-8530595.44,0.0,-8530595.44,77.95585638936788,-103.69185224298204,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,9,2022-09,2022-09-01,604,Revenues from goods,Revenue,Sales Revenue,1357991.18,0.0,1357991.18,12.409844793449523,16.50677514532711,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,10,2022-10,2022-10-01,601,Revenues from own products,Revenue,Sales Revenue,568811.61,0.0,568811.61,7.176860149390789,8.37965195269152,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,10,2022-10,2022-10-01,602,Revenues from services,Revenue,Sales Revenue,-7109057.96,0.0,-7109057.96,89.69703479300182,-104.72963344807815,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,10,2022-10,2022-10-01,604,Revenues from goods,Revenue,Sales Revenue,-247763.62,0.0,-247763.62,3.1261050576073908,-3.650018504613363,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,11,2022-11,2022-11-01,601,Revenues from own products,Revenue,Sales Revenue,-308586.96,0.0,-308586.96,3.3249107644215172,-3.3249107644215172,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2022,11,2022-11,2022-11-01,602,Revenues from services,Revenue,Sales Revenue,-8951099.33,0.0,-8951099.33,96.44479635731604,-96.44479635731604,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,11,2022-11,2022-11-01,604,Revenues from goods,Revenue,Sales Revenue,-21373.62,0.0,-21373.62,0.23029287826243544,-0.23029287826243544,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,12,2022-12,2022-12-01,601,Revenues from own products,Revenue,Sales Revenue,372288.7,0.0,372288.7,3.858872713566789,4.181597785433176,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2022,12,2022-12,2022-12-01,602,Revenues from services,Revenue,Sales Revenue,-8462099.09,0.0,-8462099.09,87.71193774589278,-95.04745863857832,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2022,12,2022-12,2022-12-01,604,Revenues from goods,Revenue,Sales Revenue,-813214.7,0.0,-813214.7,8.42918954054045,-9.134139146854858,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,1,2023-01,2023-01-01,601,Revenues from own products,Revenue,Sales Revenue,-556812.73,0.0,-556812.73,6.065692237084718,-6.574548974407741,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,1,2023-01,2023-01-01,602,Revenues from services,Revenue,Sales Revenue,-8267648.22,0.0,-8267648.22,90.06440931585973,-97.6199989636821,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,1,2023-01,2023-01-01,604,Revenues from goods,Revenue,Sales Revenue,355245.31,0.0,355245.31,3.869898447055538,4.194547938089814,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,2,2023-02,2023-02-01,601,Revenues from own products,Revenue,Sales Revenue,-537758.92,0.0,-537758.92,6.272350491214058,-6.272350491214058,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,2,2023-02,2023-02-01,602,Revenues from services,Revenue,Sales Revenue,-7956506.4,0.0,-7956506.4,92.80366158573027,-92.80366158573027,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,2,2023-02,2023-02-01,604,Revenues from goods,Revenue,Sales Revenue,-79217.95,0.0,-79217.95,0.9239879230556894,-0.9239879230556894,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,3,2023-03,2023-03-01,601,Revenues from own products,Revenue,Sales Revenue,333902.03,0.0,333902.03,3.3939263995989655,3.8050385711303925,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,3,2023-03,2023-03-01,602,Revenues from services,Revenue,Sales Revenue,-9306741.27,0.0,-9306741.27,94.59779232396461,-106.05658643010061,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,3,2023-03,2023-03-01,604,Revenues from goods,Revenue,Sales Revenue,197579.18,0.0,197579.18,2.008281276436432,2.251547858970233,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,4,2023-04,2023-04-01,601,Revenues from own products,Revenue,Sales Revenue,-536560.39,0.0,-536560.39,7.280848439572128,-7.424010275035278,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,4,2023-04,2023-04-01,602,Revenues from services,Revenue,Sales Revenue,-6761860.66,0.0,-6761860.66,91.75497027457648,-93.55912951046727,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,4,2023-04,2023-04-01,604,Revenues from goods,Revenue,Sales Revenue,71055.11,0.0,71055.11,0.9641812858513948,0.9831397855025452,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,5,2023-05,2023-05-01,602,Revenues from services,Revenue,Sales Revenue,-8482894.04,0.0,-8482894.04,96.54923246965454,-103.70657833359016,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,5,2023-05,2023-05-01,604,Revenues from goods,Revenue,Sales Revenue,303187.24,0.0,303187.24,3.4507675303454515,3.706578333590148,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,6,2023-06,2023-06-01,601,Revenues from own products,Revenue,Sales Revenue,1015058.84,0.0,1015058.84,9.35493656380646,14.106664807900513,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,6,2023-06,2023-06-01,602,Revenues from services,Revenue,Sales Revenue,-9023056.56,0.0,-9023056.56,83.15786080976127,-125.39690254276086,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,6,2023-06,2023-06-01,604,Revenues from goods,Revenue,Sales Revenue,812400.08,0.0,812400.08,7.4872026264322695,11.290237734860337,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,7,2023-07,2023-07-01,601,Revenues from own products,Revenue,Sales Revenue,-128836.3,0.0,-128836.3,1.5799507837083233,-1.7287587233588555,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,7,2023-07,2023-07-01,602,Revenues from services,Revenue,Sales Revenue,-7674654.89,0.0,-7674654.89,94.11615366279858,-102.98049998219598,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,7,2023-07,2023-07-01,604,Revenues from goods,Revenue,Sales Revenue,350959.02,0.0,350959.02,4.303895553493116,4.70925870555484,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,8,2023-08,2023-08-01,601,Revenues from own products,Revenue,Sales Revenue,223049.81,0.0,223049.81,2.3490147548666798,2.6168310899123326,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,8,2023-08,2023-08-01,602,Revenues from services,Revenue,Sales Revenue,-9009561.62,0.0,-9009561.62,94.88281196142037,-105.70060989380319,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,8,2023-08,2023-08-01,604,Revenues from goods,Revenue,Sales Revenue,262850.85,0.0,262850.85,2.7681732837129442,3.083778803890858,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,9,2023-09,2023-09-01,601,Revenues from own products,Revenue,Sales Revenue,668623.76,0.0,668623.76,7.217949238126706,8.435721417729736,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,9,2023-09,2023-09-01,602,Revenues from services,Revenue,Sales Revenue,-7976942.85,0.0,-7976942.85,86.1129562113344,-100.64145439245394,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,9,2023-09,2023-09-01,604,Revenues from goods,Revenue,Sales Revenue,-617781.44,0.0,-617781.44,6.669094550538884,-7.794267025275794,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,10,2023-10,2023-10-01,601,Revenues from own products,Revenue,Sales Revenue,418564.68,0.0,418564.68,4.053796897800945,5.147008855998916,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,10,2023-10,2023-10-01,602,Revenues from services,Revenue,Sales Revenue,-9228721.56,0.0,-9228721.56,89.3801235942715,-113.48380278734491,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,10,2023-10,2023-10-01,604,Revenues from goods,Revenue,Sales Revenue,677964.15,0.0,677964.15,6.566079507927555,8.336793931345992,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,11,2023-11,2023-11-01,601,Revenues from own products,Revenue,Sales Revenue,508343.82,0.0,508343.82,5.123909589477139,6.6726088413555456,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2023,11,2023-11,2023-11-01,602,Revenues from services,Revenue,Sales Revenue,-8769690.74,0.0,-8769690.74,88.39509936293682,-115.11247637018162,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,11,2023-11,2023-11-01,604,Revenues from goods,Revenue,Sales Revenue,642980.07,0.0,642980.07,6.480991047586027,8.439867528826076,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,12,2023-12,2023-12-01,601,Revenues from own products,Revenue,Sales Revenue,646308.33,0.0,646308.33,7.006535288390002,8.62340089343953,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2023,12,2023-12,2023-12-01,602,Revenues from services,Revenue,Sales Revenue,-8359591.82,0.0,-8359591.82,90.62512792209625,-111.53826776358862,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2023,12,2023-12,2023-12-01,604,Revenues from goods,Revenue,Sales Revenue,218464.01,0.0,218464.01,2.368336789513739,2.9148668701490856,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2024,1,2024-01,2024-01-01,601,Revenues from own products,Revenue,Sales Revenue,1281651.78,0.0,1281651.78,12.676807001601908,16.982479235024172,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2024,1,2024-01,2024-01-01,602,Revenues from services,Revenue,Sales Revenue,-8764508.96,0.0,-8764508.96,86.68968458010542,-116.1337999455541,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2024,1,2024-01,2024-01-01,604,Revenues from goods,Revenue,Sales Revenue,-64049.03,0.0,-64049.03,0.6335084182926899,-0.8486792894700621,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2024,2,2024-02,2024-02-01,601,Revenues from own products,Revenue,Sales Revenue,388331.46,0.0,388331.46,3.8129367817271844,4.548389005217655,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2024,2,2024-02,2024-02-01,602,Revenues from services,Revenue,Sales Revenue,-9361178.35,0.0,-9361178.35,91.91524490707806,-109.64417017107382,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2024,2,2024-02,2024-02-01,604,Revenues from goods,Revenue,Sales Revenue,435066.6,0.0,435066.6,4.271818311194741,5.095781165856167,REVENUE,FAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2024,3,2024-03,2024-03-01,601,Revenues from own products,Revenue,Sales Revenue,-604135.07,0.0,-604135.07,6.373425667196633,-6.373425667196633,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2024,3,2024-03,2024-03-01,602,Revenues from services,Revenue,Sales Revenue,-8638797.14,0.0,-8638797.14,91.13645964267705,-91.13645964267705,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2024,3,2024-03,2024-03-01,604,Revenues from goods,Revenue,Sales Revenue,-236037.21,0.0,-236037.21,2.490114690126302,-2.490114690126302,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2024,4,2024-04,2024-04-01,601,Revenues from own products,Revenue,Sales Revenue,-633091.83,0.0,-633091.83,7.339087859913003,-7.456831367932132,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
2024,4,2024-04,2024-04-01,602,Revenues from services,Revenue,Sales Revenue,-7925104.72,0.0,-7925104.72,91.87141119652618,-93.34533581051426,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2024,4,2024-04,2024-04-01,604,Revenues from goods,Revenue,Sales Revenue,68104.73,0.0,68104.73,0.7895009435608306,0.8021671784463693,REVENUE,FAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2024,5,2024-05,2024-05-01,601,Revenues from own products,Revenue,Sales Revenue,-11849.18,0.0,-11849.18,0.12125402315177217,-0.12125402315177217,REVENUE,UNFAVORABLE,3,DRIVER_IDENTIFIED,ACCOUNT
2024,5,2024-05,2024-05-01,602,Revenues from services,Revenue,Sales Revenue,-9487469.47,0.0,-9487469.47,97.08636739142385,-97.08636739142385,REVENUE,UNFAVORABLE,1,DRIVER_IDENTIFIED,ACCOUNT
2024,5,2024-05,2024-05-01,604,Revenues from goods,Revenue,Sales Revenue,-272876.69,0.0,-272876.69,2.7923785854243883,-2.7923785854243883,REVENUE,UNFAVORABLE,2,DRIVER_IDENTIFIED,ACCOUNT
