period,analysis_type,total_variance,price_effect,volume_effect,mix_effect,reconciliation_check,top_driver_account,top_driver_name,top_driver_variance,price_status,volume_status,mix_status
2023-07-01,REVENUE,-1172122.8400000008,-397689.4872797351,-774433.3527202653,-4.0745362639427185e-10,0.0,602,Sales Revenue,-1172122.8400000008,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE
2023-08-01,REVENUE,-357830.43000000156,-469008.8680880217,111178.43808801872,1.3969838619232178e-09,0.0,602,Sales Revenue,-357830.43000000156,UNFAVORABLE,FAVORABLE,FAVORABLE
2023-09-01,REVENUE,-553652.5899999999,-288833.28088219266,-264819.30911780754,3.4924596548080444e-10,0.0,602,Sales Revenue,-553652.5899999999,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2023-10-01,REVENUE,2119663.6000000006,1418389.3290465465,701274.2709534536,4.656612873077393e-10,0.0,602,Sales Revenue,2119663.6000000006,FAVORABLE,FAVORABLE,FAVORABLE
2023-11-01,REVENUE,-181408.58999999985,-134166.8268432945,-47241.76315670426,-1.1059455573558807e-09,0.0,602,Sales Revenue,-181408.58999999985,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE
2023-12-01,REVENUE,-102507.26999999955,275433.7344662801,-377941.0044662796,-5.820766091346741e-11,0.0,602,Sales Revenue,-102507.26999999955,FAVORABLE,UNFAVORABLE,UNFAVORABLE
2024-01-01,REVENUE,496860.74000000115,108102.91969461316,388757.82030538865,-6.548361852765083e-10,0.0,602,Sales Revenue,496860.74000000115,FAVORABLE,FAVORABLE,UNFAVORABLE
2024-02-01,REVENUE,1404671.9499999993,937759.502292157,466912.4477078427,-4.656612873077393e-10,0.0,602,Sales Revenue,1404671.9499999993,FAVORABLE,FAVORABLE,UNFAVORABLE
2024-03-01,REVENUE,-667944.129999999,667468.9253861125,-1335413.05538611,-1.5133991837501526e-09,0.0,602,Sales Revenue,-667944.129999999,FAVORABLE,UNFAVORABLE,UNFAVORABLE
2024-04-01,REVENUE,1163244.0599999996,439857.5201714823,723386.5398285172,5.820766091346741e-11,0.0,602,Sales Revenue,1163244.0599999996,FAVORABLE,FAVORABLE,FAVORABLE
2024-05-01,REVENUE,1004575.4300000016,863631.8230273175,140943.60697268374,3.4924596548080444e-10,1.1641532182693481e-10,602,Sales Revenue,1004575.4300000016,FAVORABLE,FAVORABLE,FAVORABLE
2024-06-01,REVENUE,-1277554.0700000003,-430417.28046676633,-847136.7895332343,3.4924596548080444e-10,0.0,602,Sales Revenue,-1277554.0700000003,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2024-07-01,REVENUE,1480453.410000001,1102764.1955122629,377689.21448773774,4.656612873077393e-10,0.0,602,Sales Revenue,1480453.410000001,FAVORABLE,FAVORABLE,FAVORABLE
2024-08-01,REVENUE,459357.48000000045,589718.4315222611,-130360.95152226025,-4.656612873077393e-10,-5.820766091346741e-11,602,Sales Revenue,459357.48000000045,FAVORABLE,UNFAVORABLE,UNFAVORABLE
2024-09-01,REVENUE,-28413.830000000075,140049.85887272382,-168463.68887272384,-5.820766091346741e-11,0.0,602,Sales Revenue,-28413.830000000075,FAVORABLE,UNFAVORABLE,UNFAVORABLE
2024-10-01,REVENUE,-426867.66000000015,-380758.70055103046,-46108.959448968984,-6.984919309616089e-10,0.0,602,Sales Revenue,-426867.66000000015,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE
2024-11-01,REVENUE,-1503853.9500000002,-1104494.416559137,-399359.5334408635,2.3283064365386963e-10,0.0,602,Sales Revenue,-1503853.9500000002,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2024-12-01,REVENUE,-394620.0600000005,-432659.65500452014,38039.59500451925,3.4924596548080444e-10,0.0,602,Sales Revenue,-394620.0600000005,UNFAVORABLE,FAVORABLE,FAVORABLE
2025-01-01,REVENUE,474809.2199999988,308595.1701396178,166214.049860381,0.0,0.0,602,Sales Revenue,474809.2199999988,FAVORABLE,FAVORABLE,NEUTRAL
2025-02-01,REVENUE,-619668.4900000002,-112756.8027757812,-506911.6872242199,8.731149137020111e-10,0.0,602,Sales Revenue,-619668.4900000002,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2025-03-01,REVENUE,-715634.790000001,-1839050.5230319286,1123415.7330319274,2.3283064365386963e-10,0.0,602,Sales Revenue,-715634.790000001,UNFAVORABLE,FAVORABLE,FAVORABLE
2025-04-01,REVENUE,1915548.8400000008,1627840.3141275954,287708.52587240585,-4.656612873077393e-10,0.0,602,Sales Revenue,1915548.8400000008,FAVORABLE,FAVORABLE,UNFAVORABLE
2025-05-01,REVENUE,-886257.25,-1023444.4816714682,137187.23167146815,1.1641532182693481e-10,0.0,602,Sales Revenue,-886257.25,UNFAVORABLE,FAVORABLE,FAVORABLE
2025-06-01,REVENUE,1241829.4399999995,1341757.4932866157,-99928.05328661593,-2.3283064365386963e-10,0.0,602,Sales Revenue,1241829.4399999995,FAVORABLE,UNFAVORABLE,UNFAVORABLE
2025-07-01,REVENUE,296177.8300000001,-1097773.405666583,1393951.2356665835,-4.656612873077393e-10,0.0,602,Sales Revenue,296177.8300000001,UNFAVORABLE,FAVORABLE,UNFAVORABLE
2025-08-01,REVENUE,-1368868.4099999992,-893681.2904245204,-475187.1195754785,-3.4924596548080444e-10,0.0,602,Sales Revenue,-1368868.4099999992,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE
2025-09-01,REVENUE,-1164834.6799999997,-1710284.6050787864,545449.9250787867,0.0,0.0,602,Sales Revenue,-1164834.6799999997,UNFAVORABLE,FAVORABLE,NEUTRAL
2025-10-01,REVENUE,317856.70999999903,30703.667199662257,287153.0428003367,4.729372449219227e-11,0.0,602,Sales Revenue,317856.70999999903,FAVORABLE,FAVORABLE,FAVORABLE
2025-11-01,REVENUE,1714479.7199999997,1675705.202649216,38774.51735078301,6.984919309616089e-10,0.0,602,Sales Revenue,1714479.7199999997,FAVORABLE,FAVORABLE,FAVORABLE
2025-12-01,REVENUE,1646198.0,707877.8184133281,938320.1815866712,6.984919309616089e-10,0.0,602,Sales Revenue,1646198.0,FAVORABLE,FAVORABLE,FAVORABLE
2026-01-01,REVENUE,-311546.8100000005,146152.1961709135,-457699.00617091503,1.0186340659856796e-09,0.0,602,Sales Revenue,-311546.8100000005,FAVORABLE,UNFAVORABLE,FAVORABLE
2026-02-01,REVENUE,-594521.459999999,-591705.1611952689,-2816.2988047295335,-6.984919309616089e-10,0.0,602,Sales Revenue,-594521.459999999,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE
2026-03-01,REVENUE,2003955.5199999996,2204985.4772043745,-201029.95720437617,1.3969838619232178e-09,2.3283064365386963e-10,602,Sales Revenue,2003955.5199999996,FAVORABLE,UNFAVORABLE,FAVORABLE
2026-04-01,REVENUE,-503578.94000000134,-113927.91183545622,-389651.0281645462,1.0622898116707802e-09,0.0,602,Sales Revenue,-503578.94000000134,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2026-05-01,REVENUE,160731.95999999903,1209167.6366446398,-1048435.6766446399,-6.984919309616089e-10,1.1641532182693481e-10,602,Sales Revenue,160731.95999999903,FAVORABLE,UNFAVORABLE,UNFAVORABLE
2026-06-01,REVENUE,-233729.74000000022,-217391.69731264797,-16338.04268735308,8.149072527885437e-10,0.0,602,Sales Revenue,-233729.74000000022,UNFAVORABLE,UNFAVORABLE,FAVORABLE
2026-07-01,REVENUE,-1040576.1100000013,-828630.5769815574,-211945.5330184438,-1.1641532182693481e-10,-1.1641532182693481e-10,602,Sales Revenue,-1040576.1100000013,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE
2026-08-01,REVENUE,-5740212.65,66387.71201128048,-5806600.362011281,-1.4551915228366852e-11,0.0,602,Sales Revenue,-5740212.65,FAVORABLE,UNFAVORABLE,UNFAVORABLE
