period,metric,total_variance,primary_driver_account,primary_driver_name,primary_driver_variance,primary_driver_contribution_pct,top_3_drivers,controller_interpretation
2021-11-01,EBITDA,-91359770.69,541,Fixed Asset Disposal Costs,-28132539.0,29.161393983576666,541 Fixed Asset Disposal Costs (29.2%) | 504 Cost of Goods Sold (26.0%) | 641 Other Operating Income (16.8%),UNFAVORABLE
2021-12-01,EBITDA,-146555251.9,541,Fixed Asset Disposal Costs,-90196451.0,60.282874764337315,541 Fixed Asset Disposal Costs (60.3%) | 504 Cost of Goods Sold (18.4%) | 602 Sales Revenue (5.6%),UNFAVORABLE
2022-01-01,EBITDA,-52586435.18000001,504,Cost of Goods Sold,-22885372.75,41.137900307603324,504 Cost of Goods Sold (41.1%) | 541 Fixed Asset Disposal Costs (15.9%) | 602 Sales Revenue (14.1%),UNFAVORABLE
2022-02-01,EBITDA,-54320815.489999995,504,Cost of Goods Sold,-23192484.91,42.0052101306086,504 Cost of Goods Sold (42.0%) | 602 Sales Revenue (14.6%) | 501 Material Consumption (11.7%),UNFAVORABLE
2022-03-01,EBITDA,-267722562.4,541,Fixed Asset Disposal Costs,-210633650.0,78.46310288867669,541 Fixed Asset Disposal Costs (78.5%) | 504 Cost of Goods Sold (10.0%) | 602 Sales Revenue (3.4%),UNFAVORABLE
2022-04-01,EBITDA,-150730406.93999997,541,Fixed Asset Disposal Costs,-98530357.0,64.23607601942857,541 Fixed Asset Disposal Costs (64.2%) | 504 Cost of Goods Sold (16.4%) | 602 Sales Revenue (5.4%),UNFAVORABLE
2022-05-01,EBITDA,-77329282.93,504,Cost of Goods Sold,-25290555.2,32.45380486760379,504 Cost of Goods Sold (32.5%) | 641 Other Operating Income (23.7%) | 541 Fixed Asset Disposal Costs (13.5%),UNFAVORABLE
2022-06-01,EBITDA,-220825911.17,541,Fixed Asset Disposal Costs,-167666902.0,75.14077745730341,541 Fixed Asset Disposal Costs (75.1%) | 504 Cost of Goods Sold (10.7%) | 602 Sales Revenue (4.0%),UNFAVORABLE
2022-07-01,EBITDA,-204569695.20999998,641,Other Operating Income,-107199837.2,51.98205940808223,641 Other Operating Income (52.0%) | 541 Fixed Asset Disposal Costs (24.3%) | 504 Cost of Goods Sold (11.5%),UNFAVORABLE
2022-08-01,EBITDA,-354600980.85999995,541,Fixed Asset Disposal Costs,-282647910.0,79.06659590420409,541 Fixed Asset Disposal Costs (79.1%) | 504 Cost of Goods Sold (7.8%) | 641 Other Operating Income (6.6%),UNFAVORABLE
2022-09-01,EBITDA,-64906998.09,504,Cost of Goods Sold,-28020760.06,40.99917339114773,504 Cost of Goods Sold (41.0%) | 541 Fixed Asset Disposal Costs (19.1%) | 602 Sales Revenue (12.5%),UNFAVORABLE
2022-10-01,EBITDA,-89988955.07999998,541,Fixed Asset Disposal Costs,-47468366.0,51.48437737475731,541 Fixed Asset Disposal Costs (51.5%) | 504 Cost of Goods Sold (26.1%) | 602 Sales Revenue (7.7%),UNFAVORABLE
2022-11-01,EBITDA,-167016548.98,541,Fixed Asset Disposal Costs,-62656869.0,36.88741484319416,541 Fixed Asset Disposal Costs (36.9%) | 641 Other Operating Income (31.2%) | 504 Cost of Goods Sold (15.4%),UNFAVORABLE
2022-12-01,EBITDA,-84315306.59,504,Cost of Goods Sold,-22793215.08,26.766873718688416,504 Cost of Goods Sold (26.8%) | 541 Fixed Asset Disposal Costs (23.3%) | 641 Other Operating Income (19.9%),UNFAVORABLE
2023-01-01,EBITDA,-133556458.57,541,Fixed Asset Disposal Costs,-73986569.0,54.41929767990753,541 Fixed Asset Disposal Costs (54.4%) | 504 Cost of Goods Sold (18.4%) | 641 Other Operating Income (7.6%),UNFAVORABLE
2023-02-01,EBITDA,-208635625.35,541,Fixed Asset Disposal Costs,-90894807.0,43.31608589608088,541 Fixed Asset Disposal Costs (43.3%) | 641 Other Operating Income (35.7%) | 504 Cost of Goods Sold (11.2%),UNFAVORABLE
2023-03-01,EBITDA,-76250715.39999999,504,Cost of Goods Sold,-25807035.81,33.32406190874398,504 Cost of Goods Sold (33.3%) | 641 Other Operating Income (22.0%) | 541 Fixed Asset Disposal Costs (12.4%),UNFAVORABLE
2023-04-01,EBITDA,-200106389.73999998,541,Fixed Asset Disposal Costs,-93979015.0,46.12214061177747,541 Fixed Asset Disposal Costs (46.1%) | 641 Other Operating Income (31.9%) | 504 Cost of Goods Sold (10.4%),UNFAVORABLE
2023-05-01,EBITDA,-101667115.2,541,Fixed Asset Disposal Costs,-48451730.0,47.314031790122776,541 Fixed Asset Disposal Costs (47.3%) | 504 Cost of Goods Sold (25.7%) | 602 Sales Revenue (8.3%),UNFAVORABLE
2023-06-01,EBITDA,-163757324.66,641,Other Operating Income,-76039996.0,44.90115039298978,641 Other Operating Income (44.9%) | 541 Fixed Asset Disposal Costs (23.8%) | 504 Cost of Goods Sold (15.2%),UNFAVORABLE
2023-07-01,EBITDA,-140773620.7,641,Other Operating Income,-48182800.8,33.76743655290307,641 Other Operating Income (33.8%) | 541 Fixed Asset Disposal Costs (31.5%) | 504 Cost of Goods Sold (17.0%),UNFAVORABLE
2023-08-01,EBITDA,-134578030.56,641,Other Operating Income,-76331602.0,55.063465054082684,641 Other Operating Income (55.1%) | 504 Cost of Goods Sold (18.3%) | 541 Fixed Asset Disposal Costs (6.7%),UNFAVORABLE
2023-09-01,EBITDA,-128900917.32000001,541,Fixed Asset Disposal Costs,-75245022.0,57.11873849025305,541 Fixed Asset Disposal Costs (57.1%) | 504 Cost of Goods Sold (18.0%) | 602 Sales Revenue (6.1%),UNFAVORABLE
2023-10-01,EBITDA,-66811014.14,504,Cost of Goods Sold,-25293388.71,35.627894859307474,504 Cost of Goods Sold (35.6%) | 641 Other Operating Income (15.9%) | 602 Sales Revenue (13.0%),UNFAVORABLE
2023-11-01,EBITDA,-276947317.76,541,Fixed Asset Disposal Costs,-226674054.0,80.66011865554468,541 Fixed Asset Disposal Costs (80.7%) | 504 Cost of Goods Sold (8.7%) | 602 Sales Revenue (3.1%),UNFAVORABLE
2023-12-01,EBITDA,-86068596.38,641,Other Operating Income,-40297060.0,45.66797416423222,641 Other Operating Income (45.7%) | 504 Cost of Goods Sold (25.5%) | 602 Sales Revenue (9.5%),UNFAVORABLE
2024-01-01,EBITDA,-203983649.74999997,541,Fixed Asset Disposal Costs,-103982604.0,50.12146616262384,541 Fixed Asset Disposal Costs (50.1%) | 641 Other Operating Income (25.0%) | 504 Cost of Goods Sold (12.5%),UNFAVORABLE
2024-02-01,EBITDA,-71745457.39000002,504,Cost of Goods Sold,-24349381.43,33.03610880298546,504 Cost of Goods Sold (33.0%) | 541 Fixed Asset Disposal Costs (29.1%) | 602 Sales Revenue (12.7%),UNFAVORABLE
2024-03-01,EBITDA,-144893744.91,641,Other Operating Income,-90505149.2,60.61300484374323,641 Other Operating Income (60.6%) | 504 Cost of Goods Sold (16.6%) | 602 Sales Revenue (5.8%),UNFAVORABLE
2024-04-01,EBITDA,-233773367.52999997,541,Fixed Asset Disposal Costs,-174766236.0,74.03541158137011,541 Fixed Asset Disposal Costs (74.0%) | 504 Cost of Goods Sold (9.8%) | 641 Other Operating Income (5.4%),UNFAVORABLE
2024-05-01,EBITDA,-147199724.4,541,Fixed Asset Disposal Costs,-92288640.0,62.33450665198942,541 Fixed Asset Disposal Costs (62.3%) | 504 Cost of Goods Sold (16.8%) | 602 Sales Revenue (6.4%),UNFAVORABLE
2024-06-01,EBITDA,-211128864.94,541,Fixed Asset Disposal Costs,-162633471.0,76.12988487899396,541 Fixed Asset Disposal Costs (76.1%) | 504 Cost of Goods Sold (10.5%) | 602 Sales Revenue (3.6%),UNFAVORABLE
2024-07-01,EBITDA,-151222666.33999997,641,Other Operating Income,-64313079.6,41.916355352087194,641 Other Operating Income (41.9%) | 541 Fixed Asset Disposal Costs (24.6%) | 504 Cost of Goods Sold (16.9%),UNFAVORABLE
2024-08-01,EBITDA,-82169131.46999998,541,Fixed Asset Disposal Costs,-33024879.0,38.72470045295244,541 Fixed Asset Disposal Costs (38.7%) | 504 Cost of Goods Sold (26.5%) | 602 Sales Revenue (11.1%),UNFAVORABLE
2024-09-01,EBITDA,-65312860.55000001,504,Cost of Goods Sold,-24014255.62,36.23769582122745,504 Cost of Goods Sold (36.2%) | 541 Fixed Asset Disposal Costs (20.7%) | 602 Sales Revenue (12.0%),UNFAVORABLE
2024-10-01,EBITDA,-165256768.73999998,541,Fixed Asset Disposal Costs,-79348836.0,47.80882509471167,541 Fixed Asset Disposal Costs (47.8%) | 641 Other Operating Income (20.5%) | 504 Cost of Goods Sold (15.2%),UNFAVORABLE
2024-11-01,EBITDA,-94263091.79,641,Other Operating Income,-41602855.6,42.89591484867206,641 Other Operating Income (42.9%) | 504 Cost of Goods Sold (23.4%) | 541 Fixed Asset Disposal Costs (8.4%),UNFAVORABLE
2024-12-01,EBITDA,-84026713.83000001,541,Fixed Asset Disposal Costs,-33860913.0,39.21834157483536,541 Fixed Asset Disposal Costs (39.2%) | 504 Cost of Goods Sold (28.5%) | 602 Sales Revenue (9.2%),UNFAVORABLE
2025-01-01,EBITDA,-161504857.08,541,Fixed Asset Disposal Costs,-93155871.0,57.12164769499493,541 Fixed Asset Disposal Costs (57.1%) | 504 Cost of Goods Sold (16.8%) | 641 Other Operating Income (10.2%),UNFAVORABLE
2025-02-01,EBITDA,-169646952.73999998,541,Fixed Asset Disposal Costs,-117880634.0,68.9426338318239,541 Fixed Asset Disposal Costs (68.9%) | 504 Cost of Goods Sold (13.0%) | 602 Sales Revenue (5.1%),UNFAVORABLE
2025-03-01,EBITDA,-52716931.36000001,504,Cost of Goods Sold,-22949333.9,43.244788021546555,504 Cost of Goods Sold (43.2%) | 602 Sales Revenue (14.9%) | 549 Shortages & Damages (13.5%),UNFAVORABLE
2025-04-01,EBITDA,-152195572.18,541,Fixed Asset Disposal Costs,-73952773.0,48.24626056212776,541 Fixed Asset Disposal Costs (48.2%) | 641 Other Operating Income (18.6%) | 504 Cost of Goods Sold (15.6%),UNFAVORABLE
2025-05-01,EBITDA,-65057048.99,504,Cost of Goods Sold,-22918912.94,34.5552764262092,504 Cost of Goods Sold (34.6%) | 641 Other Operating Income (13.2%) | 602 Sales Revenue (13.0%),UNFAVORABLE
2025-06-01,EBITDA,-53179448.8,504,Cost of Goods Sold,-25416629.97,47.14795648009565,504 Cost of Goods Sold (47.1%) | 602 Sales Revenue (16.7%) | 501 Material Consumption (11.7%),UNFAVORABLE
2025-07-01,EBITDA,-384776291.1100001,541,Fixed Asset Disposal Costs,-268110286.0,69.50410010444918,541 Fixed Asset Disposal Costs (69.5%) | 641 Other Operating Income (16.4%) | 504 Cost of Goods Sold (6.8%),UNFAVORABLE
2025-08-01,EBITDA,-100773469.72999999,541,Fixed Asset Disposal Costs,-44412392.0,42.577921041428155,541 Fixed Asset Disposal Costs (42.6%) | 504 Cost of Goods Sold (23.5%) | 641 Other Operating Income (11.0%),UNFAVORABLE
2025-09-01,EBITDA,-93671358.88999999,641,Other Operating Income,-34593058.8,36.05085236989045,641 Other Operating Income (36.1%) | 504 Cost of Goods Sold (24.6%) | 541 Fixed Asset Disposal Costs (12.0%),UNFAVORABLE
2025-10-01,EBITDA,-94777405.47000001,541,Fixed Asset Disposal Costs,-25716132.0,25.82603379841359,541 Fixed Asset Disposal Costs (25.8%) | 504 Cost of Goods Sold (24.4%) | 641 Other Operating Income (22.0%),UNFAVORABLE
2025-11-01,EBITDA,-142732195.53,541,Fixed Asset Disposal Costs,-63402564.0,43.688017409229424,541 Fixed Asset Disposal Costs (43.7%) | 641 Other Operating Income (23.5%) | 504 Cost of Goods Sold (16.5%),UNFAVORABLE
2025-12-01,EBITDA,-201112758.23,541,Fixed Asset Disposal Costs,-106015254.0,52.22708094961688,541 Fixed Asset Disposal Costs (52.2%) | 641 Other Operating Income (21.1%) | 504 Cost of Goods Sold (13.2%),UNFAVORABLE
2026-01-01,EBITDA,118954295.76,541,Fixed Asset Disposal Costs,97813664.55,77.97900908482592,541 Fixed Asset Disposal Costs (78.0%) | 641 Other Operating Income (13.9%) | 504 Cost of Goods Sold (2.0%),FAVORABLE
2026-02-01,EBITDA,132636104.7,541,Fixed Asset Disposal Costs,123774665.7,89.54106816361033,541 Fixed Asset Disposal Costs (89.5%) | 641 Other Operating Income (5.9%) | 602 Sales Revenue (0.7%),FAVORABLE
2026-03-01,EBITDA,2316911.0600000024,601,Sales Revenue,1945525.7400000002,17.60186031261071,601 Sales Revenue (17.6%) | 541 Fixed Asset Disposal Costs (15.3%) | 602 Sales Revenue (14.5%),FAVORABLE
2026-04-01,EBITDA,111026423.81,541,Fixed Asset Disposal Costs,77650411.65,67.1149648358611,541 Fixed Asset Disposal Costs (67.1%) | 641 Other Operating Income (25.9%) | 502 Energy Consumption (1.6%),FAVORABLE
2026-05-01,EBITDA,24565171.150000002,641,Other Operating Income,9222705.24,34.616420928145736,641 Other Operating Income (34.6%) | 541 Fixed Asset Disposal Costs (33.8%) | 524 Social & Health Insurance (8.6%),FAVORABLE
2026-06-01,EBITDA,5890779.879999999,541,Fixed Asset Disposal Costs,2975461.65,26.778946691891576,541 Fixed Asset Disposal Costs (26.8%) | 641 Other Operating Income (12.6%) | 504 Cost of Goods Sold (9.4%),FAVORABLE
2026-07-01,EBITDA,354708860.22,541,Fixed Asset Disposal Costs,281515800.3,79.01664705699389,541 Fixed Asset Disposal Costs (79.0%) | 641 Other Operating Income (18.7%) | 549 Shortages & Damages (0.6%),FAVORABLE
2026-08-01,EBITDA,94404768.04,541,Fixed Asset Disposal Costs,46633011.6,47.82595330185076,541 Fixed Asset Disposal Costs (47.8%) | 504 Cost of Goods Sold (21.0%) | 641 Other Operating Income (12.4%),FAVORABLE
2026-09-01,EBITDA,98354927.35000001,641,Other Operating Income,36322711.74,36.050852180787714,641 Other Operating Income (36.1%) | 504 Cost of Goods Sold (24.6%) | 541 Fixed Asset Disposal Costs (12.0%),FAVORABLE
2026-10-01,EBITDA,99516276.33,541,Fixed Asset Disposal Costs,27001938.6,25.826033653169716,541 Fixed Asset Disposal Costs (25.8%) | 504 Cost of Goods Sold (24.4%) | 641 Other Operating Income (22.0%),FAVORABLE
2026-11-01,EBITDA,149868805.69,541,Fixed Asset Disposal Costs,66572692.2,43.68801730401032,541 Fixed Asset Disposal Costs (43.7%) | 641 Other Operating Income (23.5%) | 504 Cost of Goods Sold (16.5%),FAVORABLE
2026-12-01,EBITDA,211168396.64000002,541,Fixed Asset Disposal Costs,111316016.7,52.22708082464739,541 Fixed Asset Disposal Costs (52.2%) | 641 Other Operating Income (21.1%) | 504 Cost of Goods Sold (13.2%),FAVORABLE
2021-01-01,NET_PROFIT,-287279300.51,641,Other Operating Income,-107829182.0,35.79621572423642,641 Other Operating Income (35.8%) | 541 Fixed Asset Disposal Costs (35.4%) | 504 Cost of Goods Sold (7.7%),UNFAVORABLE
2021-02-01,NET_PROFIT,-285456165.25,541,Fixed Asset Disposal Costs,-197605531.0,66.67968529035085,541 Fixed Asset Disposal Costs (66.7%) | 504 Cost of Goods Sold (8.1%) | 641 Other Operating Income (6.5%),UNFAVORABLE
2021-03-01,NET_PROFIT,-259709001.85000002,541,Fixed Asset Disposal Costs,-174631237.0,63.00996103100665,541 Fixed Asset Disposal Costs (63.0%) | 504 Cost of Goods Sold (8.8%) | 551 Depreciation (8.0%),UNFAVORABLE
2021-04-01,NET_PROFIT,-82549257.69,504,Cost of Goods Sold,-23444258.92,23.222699028035294,504 Cost of Goods Sold (23.2%) | 641 Other Operating Income (10.5%) | 602 Sales Revenue (9.0%),UNFAVORABLE
2021-05-01,NET_PROFIT,-138767982.25,641,Other Operating Income,-71935509.6,48.057733978298046,641 Other Operating Income (48.1%) | 504 Cost of Goods Sold (15.6%) | 541 Fixed Asset Disposal Costs (6.3%),UNFAVORABLE
2021-06-01,NET_PROFIT,-169665665.60999998,541,Fixed Asset Disposal Costs,-106878163.0,56.62323319680805,541 Fixed Asset Disposal Costs (56.6%) | 504 Cost of Goods Sold (12.9%) | 602 Sales Revenue (4.4%),UNFAVORABLE
2021-07-01,NET_PROFIT,-172114794.13,541,Fixed Asset Disposal Costs,-70849783.0,38.65742710887248,541 Fixed Asset Disposal Costs (38.7%) | 641 Other Operating Income (23.5%) | 504 Cost of Goods Sold (13.5%),UNFAVORABLE
2021-08-01,NET_PROFIT,-69795776.50999999,504,Cost of Goods Sold,-23887952.93,28.561267436765547,504 Cost of Goods Sold (28.6%) | 602 Sales Revenue (10.4%) | 501 Material Consumption (8.1%),UNFAVORABLE
2021-09-01,NET_PROFIT,-181984375.87,541,Fixed Asset Disposal Costs,-113703778.0,57.00907320234023,541 Fixed Asset Disposal Costs (57.0%) | 504 Cost of Goods Sold (12.4%) | 602 Sales Revenue (4.4%),UNFAVORABLE
2021-10-01,NET_PROFIT,-153079811.66,541,Fixed Asset Disposal Costs,-90021766.0,54.13161336986141,541 Fixed Asset Disposal Costs (54.1%) | 504 Cost of Goods Sold (14.4%) | 602 Sales Revenue (4.7%),UNFAVORABLE
2021-11-01,NET_PROFIT,-114233091.38000003,541,Fixed Asset Disposal Costs,-28132539.0,21.800698546371702,541 Fixed Asset Disposal Costs (21.8%) | 504 Cost of Goods Sold (19.5%) | 641 Other Operating Income (12.6%),UNFAVORABLE
2021-12-01,NET_PROFIT,-157904129.08999997,541,Fixed Asset Disposal Costs,-90196451.0,52.01570961337924,541 Fixed Asset Disposal Costs (52.0%) | 504 Cost of Goods Sold (15.8%) | 602 Sales Revenue (4.8%),UNFAVORABLE
2022-01-01,NET_PROFIT,-70658586.92,504,Cost of Goods Sold,-22885372.75,28.699259130829574,504 Cost of Goods Sold (28.7%) | 541 Fixed Asset Disposal Costs (11.1%) | 602 Sales Revenue (9.9%),UNFAVORABLE
2022-02-01,NET_PROFIT,-62561522.81999999,504,Cost of Goods Sold,-23192484.91,31.06545219159947,504 Cost of Goods Sold (31.1%) | 602 Sales Revenue (10.8%) | 501 Material Consumption (8.7%),UNFAVORABLE
2022-03-01,NET_PROFIT,-286931327.82000005,541,Fixed Asset Disposal Costs,-210633650.0,70.9663373094951,541 Fixed Asset Disposal Costs (71.0%) | 504 Cost of Goods Sold (9.1%) | 602 Sales Revenue (3.1%),UNFAVORABLE
2022-04-01,NET_PROFIT,-163763212.73,541,Fixed Asset Disposal Costs,-98530357.0,56.09846836181568,541 Fixed Asset Disposal Costs (56.1%) | 504 Cost of Goods Sold (14.3%) | 602 Sales Revenue (4.7%),UNFAVORABLE
2022-05-01,NET_PROFIT,-91466670.97,504,Cost of Goods Sold,-25290555.2,24.721426777110334,504 Cost of Goods Sold (24.7%) | 641 Other Operating Income (18.1%) | 541 Fixed Asset Disposal Costs (10.3%),UNFAVORABLE
2022-06-01,NET_PROFIT,-235958954.83999997,541,Fixed Asset Disposal Costs,-167666902.0,67.30547114380153,541 Fixed Asset Disposal Costs (67.3%) | 504 Cost of Goods Sold (9.5%) | 602 Sales Revenue (3.6%),UNFAVORABLE
2022-07-01,NET_PROFIT,-224117365.11,641,Other Operating Income,-107199837.2,45.82987109863525,641 Other Operating Income (45.8%) | 541 Fixed Asset Disposal Costs (21.4%) | 504 Cost of Goods Sold (10.2%),UNFAVORABLE
2022-08-01,NET_PROFIT,-396092227.71,541,Fixed Asset Disposal Costs,-282647910.0,69.17748096839263,541 Fixed Asset Disposal Costs (69.2%) | 504 Cost of Goods Sold (6.8%) | 551 Depreciation (5.9%),UNFAVORABLE
2022-09-01,NET_PROFIT,-89147711.43999998,504,Cost of Goods Sold,-28020760.06,27.95486699166555,504 Cost of Goods Sold (28.0%) | 551 Depreciation (13.6%) | 541 Fixed Asset Disposal Costs (13.0%),UNFAVORABLE
2022-10-01,NET_PROFIT,-119785549.29999998,541,Fixed Asset Disposal Costs,-47468366.0,36.495297620657304,541 Fixed Asset Disposal Costs (36.5%) | 504 Cost of Goods Sold (18.5%) | 551 Depreciation (7.1%),UNFAVORABLE
2022-11-01,NET_PROFIT,-198416134.00999996,541,Fixed Asset Disposal Costs,-62656869.0,29.154189319209006,541 Fixed Asset Disposal Costs (29.2%) | 641 Other Operating Income (24.6%) | 504 Cost of Goods Sold (12.2%),UNFAVORABLE
2022-12-01,NET_PROFIT,-104162902.11,504,Cost of Goods Sold,-22793215.08,19.13911201886929,504 Cost of Goods Sold (19.1%) | 541 Fixed Asset Disposal Costs (16.7%) | 641 Other Operating Income (14.2%),UNFAVORABLE
2023-01-01,NET_PROFIT,-148277837.17,541,Fixed Asset Disposal Costs,-73986569.0,45.422313761890784,541 Fixed Asset Disposal Costs (45.4%) | 504 Cost of Goods Sold (15.4%) | 641 Other Operating Income (6.3%),UNFAVORABLE
2023-02-01,NET_PROFIT,-226411333.01,541,Fixed Asset Disposal Costs,-90894807.0,38.66965397016757,541 Fixed Asset Disposal Costs (38.7%) | 641 Other Operating Income (31.9%) | 504 Cost of Goods Sold (10.0%),UNFAVORABLE
2023-03-01,NET_PROFIT,-87970314.47,504,Cost of Goods Sold,-25807035.81,26.314666494208073,504 Cost of Goods Sold (26.3%) | 641 Other Operating Income (17.4%) | 541 Fixed Asset Disposal Costs (9.8%),UNFAVORABLE
2023-04-01,NET_PROFIT,-228293361.32999998,541,Fixed Asset Disposal Costs,-93979015.0,38.660598122665384,541 Fixed Asset Disposal Costs (38.7%) | 641 Other Operating Income (26.7%) | 504 Cost of Goods Sold (8.7%),UNFAVORABLE
2023-05-01,NET_PROFIT,-117457336.42,541,Fixed Asset Disposal Costs,-48451730.0,37.853926595889675,541 Fixed Asset Disposal Costs (37.9%) | 504 Cost of Goods Sold (20.5%) | 602 Sales Revenue (6.6%),UNFAVORABLE
2023-06-01,NET_PROFIT,-198170353.23000002,641,Other Operating Income,-76039996.0,35.197999849205445,641 Other Operating Income (35.2%) | 541 Fixed Asset Disposal Costs (18.6%) | 504 Cost of Goods Sold (11.9%),UNFAVORABLE
2023-07-01,NET_PROFIT,-170576659.54999998,641,Other Operating Income,-48182800.8,26.206923971648514,641 Other Operating Income (26.2%) | 541 Fixed Asset Disposal Costs (24.4%) | 504 Cost of Goods Sold (13.2%),UNFAVORABLE
2023-08-01,NET_PROFIT,-150982691.32999998,641,Other Operating Income,-76331602.0,45.97697519924282,641 Other Operating Income (46.0%) | 504 Cost of Goods Sold (15.3%) | 541 Fixed Asset Disposal Costs (5.6%),UNFAVORABLE
2023-09-01,NET_PROFIT,-172308470.24999997,541,Fixed Asset Disposal Costs,-75245022.0,40.66798853868053,541 Fixed Asset Disposal Costs (40.7%) | 551 Depreciation (16.8%) | 504 Cost of Goods Sold (12.8%),UNFAVORABLE
2023-10-01,NET_PROFIT,-98637065.17999999,504,Cost of Goods Sold,-25293388.71,21.766824572430263,504 Cost of Goods Sold (21.8%) | 551 Depreciation (14.4%) | 641 Other Operating Income (9.7%),UNFAVORABLE
2023-11-01,NET_PROFIT,-299365581.8,541,Fixed Asset Disposal Costs,-226674054.0,72.74360698659864,541 Fixed Asset Disposal Costs (72.7%) | 504 Cost of Goods Sold (7.8%) | 591 Income Tax (3.3%),UNFAVORABLE
2023-12-01,NET_PROFIT,-114627778.5,641,Other Operating Income,-40297060.0,32.46865336709396,641 Other Operating Income (32.5%) | 504 Cost of Goods Sold (18.1%) | 551 Depreciation (7.7%),UNFAVORABLE
2024-01-01,NET_PROFIT,-221888385.95999998,541,Fixed Asset Disposal Costs,-103982604.0,44.01929248185068,541 Fixed Asset Disposal Costs (44.0%) | 641 Other Operating Income (22.0%) | 504 Cost of Goods Sold (11.0%),UNFAVORABLE
2024-02-01,NET_PROFIT,-92308468.67,504,Cost of Goods Sold,-24349381.43,23.13500719700804,504 Cost of Goods Sold (23.1%) | 541 Fixed Asset Disposal Costs (20.4%) | 602 Sales Revenue (8.9%),UNFAVORABLE
2024-03-01,NET_PROFIT,-162848470.25,641,Other Operating Income,-90505149.2,51.07349792735544,641 Other Operating Income (51.1%) | 504 Cost of Goods Sold (14.0%) | 602 Sales Revenue (4.9%),UNFAVORABLE
2024-04-01,NET_PROFIT,-262916459.74999997,541,Fixed Asset Disposal Costs,-174766236.0,62.84118900257215,541 Fixed Asset Disposal Costs (62.8%) | 504 Cost of Goods Sold (8.3%) | 551 Depreciation (5.5%),UNFAVORABLE
2024-05-01,NET_PROFIT,-171183807.74,541,Fixed Asset Disposal Costs,-92288640.0,49.78181658138366,541 Fixed Asset Disposal Costs (49.8%) | 504 Cost of Goods Sold (13.4%) | 551 Depreciation (6.4%),UNFAVORABLE
2024-06-01,NET_PROFIT,-226158352.76000002,541,Fixed Asset Disposal Costs,-162633471.0,68.79313080498319,541 Fixed Asset Disposal Costs (68.8%) | 504 Cost of Goods Sold (9.5%) | 602 Sales Revenue (3.3%),UNFAVORABLE
2024-07-01,NET_PROFIT,-171594859.63,641,Other Operating Income,-64313079.6,34.80913591183406,641 Other Operating Income (34.8%) | 541 Fixed Asset Disposal Costs (20.4%) | 504 Cost of Goods Sold (14.0%),UNFAVORABLE
2024-08-01,NET_PROFIT,-111349359.21,541,Fixed Asset Disposal Costs,-33024879.0,26.24922382529261,541 Fixed Asset Disposal Costs (26.2%) | 504 Cost of Goods Sold (18.0%) | 551 Depreciation (9.8%),UNFAVORABLE
