period,metric,metric_label,actual_value,baseline_median,lower_bound,upper_bound,deviation,robust_score,anomaly_flag,severity,direction,detection_method,isolation_anomaly,isolation_score,combined_anomaly,controller_action
2024-04-01,revenue,Revenue,-8490091.82,-7772233.6899999995,-9437866.87125,-6312076.12125,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06274329877652207,False,NO_ACTION
2024-05-01,revenue,Revenue,-9772195.34,-8029146.630000001,-9945383.471250001,-6086985.161249999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08530739450438446,False,NO_ACTION
2024-06-01,revenue,Revenue,-8182499.02,-8029146.630000001,-10017150.190000001,-6043925.129999999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03962958814382633,False,NO_ACTION
2024-07-01,revenue,Revenue,-9812672.83,-8157345.875,-9917224.446250003,-6210468.036249998,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09251271890504542,False,NO_ACTION
2024-08-01,revenue,Revenue,-10107090.96,-8336295.42,-10158943.26625,-6463301.416250002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.058531431735014905,False,NO_ACTION
2024-09-01,revenue,Revenue,-7948529.02,-8336295.42,-12106939.085,-5294503.925000001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09129580144492394,False,NO_ACTION
2024-10-01,revenue,Revenue,-8774035.38,-8336295.42,-12081707.033750001,-5336557.343749997,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08129279340617718,False,NO_ACTION
2024-11-01,revenue,Revenue,-6764438.44,-8513936.055,-12081707.033750001,-5336557.343749997,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07286834485626303,False,NO_ACTION
2024-12-01,revenue,Revenue,-8025233.62,-8513936.055,-12108504.773750002,-5291894.44375,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08024766184123888,False,NO_ACTION
2025-01-01,revenue,Revenue,-9637635.99,-8513936.055,-11871603.545000002,-5686729.824999999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06205984059101516,False,NO_ACTION
2025-02-01,revenue,Revenue,-8957983.54,-8655907.835,-11963415.563750003,-5851042.933749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06037714550989781,False,NO_ACTION
2025-03-01,revenue,Revenue,-10001693.25,-8866009.46,-11963415.563750003,-5851042.933749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07758807507321386,False,NO_ACTION
2025-04-01,revenue,Revenue,-9908902.12,-8866009.46,-12241012.776250001,-5684484.606249999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07360711805922815,False,NO_ACTION
2025-05-01,revenue,Revenue,-8180535.49,-9297809.765,-12377051.376249999,-5602861.44625,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08135197437608027,False,NO_ACTION
2025-06-01,revenue,Revenue,-10325468.95,-8866009.46,-12379260.3475,-5599179.827500001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06359060959895407,False,NO_ACTION
2025-07-01,revenue,Revenue,-9325931.14,-9297809.765,-12617684.7225,-5456125.202500001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.15503845541382333,True,MONITOR
2025-08-01,revenue,Revenue,-6817721.9,-9141957.34,-12617684.7225,-5456125.202500001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03168337908065416,False,NO_ACTION
2025-09-01,revenue,Revenue,-7537122.84,-8866009.46,-12254545.101250002,-5456964.891249998,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06677933147899529,False,NO_ACTION
2025-10-01,revenue,Revenue,-8543129.62,-8866009.46,-12408822.418750003,-5199836.028749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06394137587617449,False,NO_ACTION
2025-11-01,revenue,Revenue,-8796003.97,-8750556.579999998,-12408822.418750003,-5199836.028749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.01848356059384615,False,NO_ACTION
2025-12-01,revenue,Revenue,-10589119.21,-8876993.754999999,-12051066.272500003,-5796096.272499999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.026689196548688066,True,MONITOR
2026-01-01,revenue,Revenue,-7971258.77,-9141957.34,-12151528.125000002,-6233052.8649999965,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03822359288506344,False,NO_ACTION
2026-02-01,revenue,Revenue,-8864463.19,-8876993.754999999,-12637925.291249998,-5422390.9212500015,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.037118149939731115,False,NO_ACTION
2026-03-01,revenue,Revenue,-10944875.87,-8830233.58,-12637925.291249998,-5422390.9212500015,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.024625436371036313,False,NO_ACTION
2026-04-01,revenue,Revenue,-9759973.18,-8830233.58,-12840285.103749996,-5300975.033750003,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03480241037795001,False,NO_ACTION
2026-05-01,revenue,Revenue,-7632254.5,-8830233.58,-12561043.341249995,-5468520.091250003,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.045476727719187204,True,MONITOR
2026-06-01,revenue,Revenue,-8835072.4,-8830233.58,-12923606.252499998,-4864248.572500002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.0016832267083946029,True,MONITOR
2026-07-01,revenue,Revenue,-7755161.56,-8815538.185,-11756342.571250001,-5564606.781249998,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.0282425927424787,False,NO_ACTION
2026-08-01,revenue,Revenue,-2192619.9,-8669566.795,-11134199.526250001,-5678575.95625,3485956.05625,2.555862596839686,True,HIGH,ABOVE_EXPECTED,ROLLING_IQR,True,-0.30675555531801435,True,ROOT_CAUSE_REVIEW
2021-01-01,operating_costs,Operating Costs,-36374666.45,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.07932225402086268,True,MONITOR
2021-02-01,operating_costs,Operating Costs,-37466545.05,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.10748311428161883,True,MONITOR
2021-03-01,operating_costs,Operating Costs,-40960379.51,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.013662675506236788,True,MONITOR
2021-04-01,operating_costs,Operating Costs,-38755979.54,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.00858255862085433,False,NO_ACTION
2021-05-01,operating_costs,Operating Costs,-38654746.5,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.04106910648197565,False,NO_ACTION
2021-06-01,operating_costs,Operating Costs,-39152295.44,,,,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.058604786217531846,False,NO_ACTION
2021-07-01,operating_costs,Operating Costs,-36618568.17,-38705363.019999996,-40987648.04375,-35829163.833749995,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03778857677718811,False,NO_ACTION
2021-08-01,operating_costs,Operating Costs,-38545853.55,-38654746.5,-41821508.80999999,-34175185.29000001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.034149293290063165,False,NO_ACTION
2021-09-01,operating_costs,Operating Costs,-39605247.12,-38600300.025,-41255820.042500004,-34853789.302499995,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06975701067799739,False,NO_ACTION
2021-10-01,operating_costs,Operating Costs,-37429779.31,-38654746.5,-41680921.025,-34937919.464999996,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.038023030753778886,False,NO_ACTION
2021-11-01,operating_costs,Operating Costs,-38195722.4,-38600300.025,-41474585.04499999,-35017602.16500002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06303103990942027,False,NO_ACTION
2021-12-01,operating_costs,Operating Costs,-44379408.43,-38545853.55,-41213100.45499998,-35189199.215,-3166307.9750000164,-2.102496604011408,True,MEDIUM,BELOW_EXPECTED,ROLLING_IQR,False,0.03170592636364894,True,MANAGEMENT_REVIEW
2022-01-01,operating_costs,Operating Costs,-34991924.84,-38600300.025,-41977802.97750001,-34745083.99749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.005840284759335068,True,MONITOR
2022-02-01,operating_costs,Operating Costs,-38551819.03,-38600300.025,-41977802.97750001,-34745083.99749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.0530323537890936,False,NO_ACTION
2022-03-01,operating_costs,Operating Costs,-41011832.48,-38603282.765,-41157478.45875,-36112291.528749995,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.004071874688991672,False,NO_ACTION
2022-04-01,operating_costs,Operating Costs,-39388497.23,-38603282.765,-41157478.45875,-36112291.528749995,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08307895864322135,False,NO_ACTION
2022-05-01,operating_costs,Operating Costs,-39878691.19,-38603282.765,-41600356.815000005,-35846564.51499999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07213256976998916,False,NO_ACTION
2022-06-01,operating_costs,Operating Costs,-38844651.89,-38852057.235,-42177665.40249999,-35500179.3625,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.052872141345504164,False,NO_ACTION
2022-07-01,operating_costs,Operating Costs,-38810811.46,-38698235.46,-42177665.40249999,-35500179.3625,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03293124420878918,False,NO_ACTION
2022-08-01,operating_costs,Operating Costs,-39285656.12,-38827731.675,-41496539.199999996,-36635389.699999996,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.07357760298503868,True,MONITOR
2022-09-01,operating_costs,Operating Costs,-41230429.69,-39065154.004999995,-41489828.03499998,-36646574.97500001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.05005372753067916,False,NO_ACTION
2022-10-01,operating_costs,Operating Costs,-35795411.35,-39065154.004999995,-42710748.97249998,-35914022.41250001,118611.06250000745,0.06980481645270598,True,LOW,ABOVE_EXPECTED,ROLLING_IQR,False,0.03855702253685339,True,MONITOR
2022-11-01,operating_costs,Operating Costs,-42880086.98,-39065154.004999995,-42710748.97249998,-35914022.41250001,-169338.0075000152,-0.09965856710882062,True,LOW,BELOW_EXPECTED,ROLLING_IQR,False,0.03594361776527799,True,MONITOR
2022-12-01,operating_costs,Operating Costs,-38676518.46,-39337076.675,-44547109.427499995,-35265435.707499996,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08354273005944457,False,NO_ACTION
2023-01-01,operating_costs,Operating Costs,-41138510.56,-39065154.004999995,-42436925.87749999,-36370394.237500004,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09424354978839256,False,NO_ACTION
2023-02-01,operating_costs,Operating Costs,-34854876.07,-39337076.675,-44442897.685,-35377842.525000006,522966.45500000566,0.23076151033591985,True,LOW,ABOVE_EXPECTED,ROLLING_IQR,False,0.05544799663594313,True,MONITOR
2023-03-01,operating_costs,Operating Costs,-40421140.8,-39337076.675,-44442897.685,-35377842.525000006,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07008671249339127,False,NO_ACTION
2023-04-01,operating_costs,Operating Costs,-34779742.04,-39337076.675,-43335350.78499998,-36042370.66500001,1262628.6250000075,0.6925172449256652,True,LOW,ABOVE_EXPECTED,ROLLING_IQR,False,0.0006811716247240862,True,MONITOR
2023-05-01,operating_costs,Operating Costs,-42840833.34,-39065154.004999995,-44566845.57624998,-33989879.34625002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07301072577856221,False,NO_ACTION
2023-06-01,operating_costs,Operating Costs,-41327239.89,-39065154.004999995,-45969363.332499996,-33148368.69250001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06436279359129177,False,NO_ACTION
2023-07-01,operating_costs,Operating Costs,-40634094.52,-39853398.45999999,-46202218.07624998,-33008655.84625002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08701561554274434,False,NO_ACTION
2023-08-01,operating_costs,Operating Costs,-41135827.75,-40527617.66,-46202218.07624998,-33008655.84625002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.054450531380980716,False,NO_ACTION
2023-09-01,operating_costs,Operating Costs,-39268819.83,-40884961.135000005,-46202218.07624998,-33008655.84625002,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09184206313974247,False,NO_ACTION
2023-10-01,operating_costs,Operating Costs,-39860451.81,-40527617.66,-46029869.70749999,-33112064.867500015,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08920058174859385,False,NO_ACTION
2023-11-01,operating_costs,Operating Costs,-40416745.69,-40527617.66,-44283115.5,-36023321.879999995,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.012550538976568604,False,NO_ACTION
2023-12-01,operating_costs,Operating Costs,-37804474.36,-40418943.245,-44160129.400000006,-36097113.53999999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.0862595582707249,False,NO_ACTION
2024-01-01,operating_costs,Operating Costs,-40459915.75,-40418943.245,-44487145.9375,-35552085.97749999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07884749041823763,False,NO_ACTION
2024-02-01,operating_costs,Operating Costs,-37995588.27,-40418943.245,-43544719.375,-36117541.91499999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09289702946895889,False,NO_ACTION
2024-03-01,operating_costs,Operating Costs,-39413517.6,-40418943.245,-43473051.658750005,-36236988.10874999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08522423880495245,False,NO_ACTION
2024-04-01,operating_costs,Operating Costs,-38091389.2,-40138598.75,-43473051.658750005,-36236988.10874999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06274329877652207,False,NO_ACTION
2024-05-01,operating_costs,Operating Costs,-39931802.81,-40138598.75,-43437126.31,-36296863.69,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08530739450438446,False,NO_ACTION
2024-06-01,operating_costs,Operating Costs,-34376774.98,-39896127.31,-42796957.84750001,-36680964.7675,2304189.7875000015,1.5069930638312603,True,MEDIUM,ABOVE_EXPECTED,ROLLING_IQR,False,0.03962958814382633,True,MANAGEMENT_REVIEW
2024-07-01,operating_costs,Operating Costs,-39445524.07,-39636984.705,-43967687.061249994,-34527290.111250006,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09251271890504542,False,NO_ACTION
2024-08-01,operating_costs,Operating Costs,-36831227.35,-39429520.835,-43031437.87375,-35089039.62375,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.058531431735014905,False,NO_ACTION
2024-09-01,operating_costs,Operating Costs,-40791526.84,-39341168.715,-42774009.21125,-35052090.14125001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.09129580144492394,False,NO_ACTION
2024-10-01,operating_costs,Operating Costs,-43340234.45,-39429520.835,-43210881.63625,-34789966.68625001,-129352.81375000626,-0.06144359111476667,True,LOW,BELOW_EXPECTED,ROLLING_IQR,False,0.08129279340617718,True,MONITOR
2024-11-01,operating_costs,Operating Costs,-38867690.89,-39429520.835,-44147130.82374999,-34228217.17375001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07286834485626303,False,NO_ACTION
2024-12-01,operating_costs,Operating Costs,-40638245.65,-39140604.245000005,-43237862.92375,-34773777.91375001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08024766184123888,False,NO_ACTION
2025-01-01,operating_costs,Operating Costs,-42716546.93,-39429520.835,-44160087.11125,-34411850.08125,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06205984059101516,False,NO_ACTION
2025-02-01,operating_costs,Operating Costs,-35157952.89,-39429520.835,-44590256.41749999,-34153748.4975,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06037714550989781,False,NO_ACTION
2025-03-01,operating_costs,Operating Costs,-40180225.25,-39429520.835,-45026891.76249999,-33426022.922500014,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07758807507321386,False,NO_ACTION
2025-04-01,operating_costs,Operating Costs,-40153451.26,-39688663.44,-45026891.76249999,-33426022.922500014,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.07360711805922815,False,NO_ACTION
2025-05-01,operating_costs,Operating Costs,-38978111.51,-40042627.035,-44153552.36124999,-34881588.59125001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.08135197437608027,False,NO_ACTION
2025-06-01,operating_costs,Operating Costs,-39118940.69,-39799487.665,-44153552.36124999,-34881588.59125001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06359060959895407,False,NO_ACTION
2025-07-01,operating_costs,Operating Costs,-44403005.7,-39799487.665,-43265655.33625,-36361416.966249995,-1137350.3637500033,-0.6589287928945029,True,LOW,BELOW_EXPECTED,ROLLING_IQR,True,-0.15503845541382333,True,MONITOR
2025-08-01,operating_costs,Operating Costs,-38144710.91,-40166838.254999995,-44756195.123750016,-35467093.093749985,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03168337908065416,False,NO_ACTION
2025-09-01,operating_costs,Operating Costs,-40232429.43,-40166838.254999995,-44756195.123750016,-35467093.093749985,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06677933147899529,False,NO_ACTION
2025-10-01,operating_costs,Operating Costs,-40133649.8,-40166838.254999995,-44468792.8925,-35639534.43249999,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.06394137587617449,False,NO_ACTION
2025-11-01,operating_costs,Operating Costs,-37221575.71,-40143550.53,-42408949.18000001,-36875440.66,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.01848356059384615,False,NO_ACTION
2025-12-01,operating_costs,Operating Costs,-42526185.23,-40143550.53,-42680066.6725,-36423578.1725,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.026689196548688066,True,MONITOR
2026-01-01,operating_costs,Operating Costs,-43345420.01,-40143550.53,-43860028.90999999,-35715600.830000006,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03822359288506344,False,NO_ACTION
2026-02-01,operating_costs,Operating Costs,-36543014.98,-40143550.53,-43860028.90999999,-35715600.830000006,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.037118149939731115,False,NO_ACTION
2026-03-01,operating_costs,Operating Costs,-42107120.87,-40143550.53,-43860028.90999999,-35715600.830000006,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.024625436371036313,False,NO_ACTION
2026-04-01,operating_costs,Operating Costs,-38744533.56,-40143550.53,-47375075.359999985,-33606572.96000001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.03480241037795001,False,NO_ACTION
2026-05-01,operating_costs,Operating Costs,-35219439.52,-39626295.245,-47637850.55374998,-33168614.303750012,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.045476727719187204,True,MONITOR
2026-06-01,operating_costs,Operating Costs,-42734507.23,-39626295.245,-48658826.734999985,-31466987.33500001,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,True,-0.0016832267083946029,True,MONITOR
2026-07-01,operating_costs,Operating Costs,-42249989.85,-40183039.614999995,-49574773.66,-30917419.180000003,0.0,0.0,False,NORMAL,NORMAL,ROLLING_IQR,False,0.0282425927424787,False,NO_ACTION
