period,calendar_year,calendar_month,year_month,account_number,account_name,management_group,management_line,analysis_type,quantity,amount,amount_local,weighted_price,prior_year_quantity,prior_year_amount,prior_year_price,quantity_variance,price_variance,volume_effect,price_effect,total_variance,mix_effect,reconciliation_check,account_contribution_pct,price_status,volume_status,mix_status,comparison_type,analysis_level
2023-01-01,2023,1,2023-01,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33793.0,8267648.22,10375128.62,244.65564525197524,32433.0,7866698.03,242.55227792680296,1360.0,2.103367325172286,329871.097980452,71079.09201954705,400950.1899999995,4.220055416226387e-10,0.0,0.8308484545590928,FAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-02-01,2023,2,2023-02,602,Revenues from services,Revenue,Sales Revenue,REVENUE,30997.0,7956506.4,7956506.4,256.6863373874891,31449.0,8039938.1,255.6500397468918,-452.0,1.0362976405973257,-115553.8179655951,32122.117965595302,-83431.69999999925,5.384208634495735e-10,0.0,0.17288705862999423,FAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-03-01,2023,3,2023-03,602,Revenues from services,Revenue,Sales Revenue,REVENUE,35508.0,9306741.27,10050570.75,262.1026605272051,36020.0,9154658.19,254.15486368684063,-512.0,7.947796840364475,-130127.2902076624,282210.37020766176,152083.08000000007,6.984919309616089e-10,0.0,0.3151463576624994,FAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-04-01,2023,4,2023-04,602,Revenues from services,Revenue,Sales Revenue,REVENUE,30557.0,6761860.66,9300904.56,221.28679713322643,34448.0,8259096.41,239.7554694031584,-3891.0,-18.46867226993197,-932888.5314476893,-564347.2185523113,-1497235.75,5.820766091346741e-10,0.0,3.1025699451548476,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-05-01,2023,5,2023-05,602,Revenues from services,Revenue,Sales Revenue,REVENUE,35510.0,8482894.04,10586397.0,238.88746944522669,33193.0,8052342.73,242.59159250444372,2317.0,-3.7041230592170393,562084.7198327961,-131533.40983279707,430551.30999999866,-4.0745362639427185e-10,0.0,0.8921878563566518,UNFAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-06-01,2023,6,2023-06,602,Revenues from services,Revenue,Sales Revenue,REVENUE,35671.0,9023056.56,10014193.74,252.9521616999804,34892.0,9001908.44,257.9934781611831,779.0,-5.041316461202683,200976.91948756162,-179828.79948756093,21148.120000001043,3.4924596548080444e-10,0.0,0.04382310635351272,UNFAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-07-01,2023,7,2023-07,602,Revenues from services,Revenue,Sales Revenue,REVENUE,30541.0,7674654.89,7674654.89,251.29022920009166,33471.0,8846777.73,264.31172447790624,-2930.0,-13.02149527781458,-774433.3527202653,-397689.4872797351,-1172122.8400000008,-4.0745362639427185e-10,0.0,2.4288714021245794,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-08-01,2023,8,2023-08,602,Revenues from services,Revenue,Sales Revenue,REVENUE,35040.0,9009561.62,9009561.62,257.12219235159813,34629.0,9367392.05,270.507148632649,411.0,-13.384956281050847,111178.43808801872,-469008.8680880217,-357830.43000000156,1.3969838619232178e-09,0.0,0.7414957447949265,UNFAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-09-01,2023,9,2023-09,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31962.0,7976942.85,9712116.73,249.5758353669983,32986.0,8530595.44,258.6126065603589,-1024.0,-9.036771193360636,-264819.30911780754,-288833.28088219266,-553652.5899999999,3.4924596548080444e-10,0.0,1.1472781663082376,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-10-01,2023,10,2023-10,602,Revenues from services,Revenue,Sales Revenue,REVENUE,34626.0,9228721.56,9822133.8,266.5257771616704,31517.0,7109057.96,225.5626474601009,3109.0,40.96312970156953,701274.2709534536,1418389.3290465465,2119663.6000000006,4.656612873077393e-10,0.0,4.392364114468098,FAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-11-01,2023,11,2023-11,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32983.0,8769690.74,8845834.72,265.8851753933845,33158.0,8951099.33,269.95293232402435,-175.0,-4.0677569306398595,-47241.76315670426,-134166.8268432945,-181408.58999999985,-1.1059455573558807e-09,0.0,0.37591464078179926,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2023-12-01,2023,12,2023-12,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32085.0,8359591.82,8541182.38,260.54517126383047,33585.0,8462099.09,251.9606696441864,-1500.0,8.584501619644072,-377941.0044662796,275433.7344662801,-102507.26999999955,-5.820766091346741e-11,0.0,0.21241542960877857,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-01-01,2024,1,2024-01,602,Revenues from services,Revenue,Sales Revenue,REVENUE,35382.0,8764508.96,9753693.56,247.71095359222207,33793.0,8267648.22,244.65564525197524,1589.0,3.0553083402468246,388757.82030538865,108102.91969461316,496860.74000000115,-6.548361852765083e-10,0.0,1.0295941696899775,FAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-02-01,2024,2,2024-02,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32816.0,9361178.35,9934493.51,285.2626264627011,30997.0,7956506.4,256.6863373874891,1819.0,28.576289075212003,466912.4477078427,937759.502292157,1404671.9499999993,-4.656612873077393e-10,0.0,2.910759360957051,FAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-03-01,2024,3,2024-03,602,Revenues from services,Revenue,Sales Revenue,REVENUE,30413.0,8638797.14,9350586.6,284.04949002071487,35508.0,9306741.27,262.1026605272051,-5095.0,21.946829493509767,-1335413.05538611,667468.9253861125,-667944.129999999,-1.5133991837501526e-09,0.0,1.3841129446585811,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-04-01,2024,4,2024-04,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33826.0,7925104.72,10599209.7,234.29033051498845,30557.0,6761860.66,221.28679713322643,3269.0,13.003533381762026,723386.5398285172,439857.5201714823,1163244.0599999996,5.820766091346741e-11,0.0,2.4104728059264557,FAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-05-01,2024,5,2024-05,602,Revenues from services,Revenue,Sales Revenue,REVENUE,36100.0,9487469.47,10178122.05,262.8107886426593,35510.0,8482894.04,238.88746944522669,590.0,23.92331919743262,140943.60697268374,863631.8230273175,1004575.4300000016,3.4924596548080444e-10,1.1641532182693481e-10,2.0816798802453205,FAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-06-01,2024,6,2024-06,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32322.0,7745502.49,9452333.45,239.63561939236433,35671.0,9023056.56,252.9521616999804,-3349.0,-13.31654230761606,-847136.7895332343,-430417.28046676633,-1277554.0700000003,3.4924596548080444e-10,0.0,2.6473458577864264,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-07-01,2024,7,2024-07,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32044.0,9155108.3,9980621.14,285.7042909749095,30541.0,7674654.89,251.29022920009166,1503.0,34.41406177481784,377689.21448773774,1102764.1955122629,1480453.410000001,4.656612873077393e-10,0.0,3.067793602355548,FAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-08-01,2024,8,2024-08,602,Revenues from services,Revenue,Sales Revenue,REVENUE,34533.0,9468919.1,10448502.8,274.19914574465,35040.0,9009561.62,257.12219235159813,-507.0,17.076953393051895,-130360.95152226025,589718.4315222611,459357.48000000045,-4.656612873077393e-10,-5.820766091346741e-11,0.951879963813361,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-09-01,2024,9,2024-09,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31287.0,7948529.02,8833675.06,254.05213091699426,31962.0,7976942.85,249.5758353669983,-675.0,4.476295549995967,-168463.68887272384,140049.85887272382,-28413.830000000075,-5.820766091346741e-11,0.0,0.05887910102650126,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-10-01,2024,10,2024-10,602,Revenues from services,Revenue,Sales Revenue,REVENUE,34453.0,8801853.9,10943501.68,255.4742373668476,34626.0,9228721.56,266.5257771616704,-173.0,-11.051539794822816,-46108.959448968984,-380758.70055103046,-426867.66000000015,-6.984919309616089e-10,0.0,0.8845546016881969,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-11-01,2024,11,2024-11,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31481.0,7265836.79,9580251.03,230.80069851656555,32983.0,8769690.74,265.8851753933845,-1502.0,-35.08447687681894,-399359.5334408635,-1104494.416559137,-1503853.9500000002,2.3283064365386963e-10,0.0,3.116284170460398,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2024-12-01,2024,12,2024-12,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32231.0,7964971.76,8674804.48,247.1214594644907,32085.0,8359591.82,260.54517126383047,146.0,-13.42371179933977,38039.59500451925,-432659.65500452014,-394620.0600000005,3.4924596548080444e-10,0.0,0.8177311675273613,UNFAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-01-01,2025,1,2025-01,602,Revenues from services,Revenue,Sales Revenue,REVENUE,36053.0,9239318.18,10912114.12,256.2704401852828,35382.0,8764508.96,247.71095359222207,671.0,8.559486593060711,166214.049860381,308595.1701396178,474809.2199999988,0.0,0.0,0.9838990390487351,FAVORABLE,FAVORABLE,NEUTRAL,YOY_SAME_MONTH,ACCOUNT
2025-02-01,2025,2,2025-02,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31039.0,8741509.86,8741509.86,281.62988047295335,32816.0,9361178.35,285.2626264627011,-1777.0,-3.632745989747775,-506911.6872242199,-112756.8027757812,-619668.4900000002,8.731149137020111e-10,0.0,1.284076227162949,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-03-01,2025,3,2025-03,602,Revenues from services,Revenue,Sales Revenue,REVENUE,34368.0,7923162.35,9583360.99,230.5389417481378,30413.0,8638797.14,284.04949002071487,3955.0,-53.51054827257707,1123415.7330319274,-1839050.5230319286,-715634.790000001,2.3283064365386963e-10,0.0,1.482937467370255,UNFAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-04-01,2025,4,2025-04,602,Revenues from services,Revenue,Sales Revenue,REVENUE,35054.0,9840653.56,9840653.56,280.72840645860674,33826.0,7925104.72,234.29033051498845,1228.0,46.43807594361829,287708.52587240585,1627840.3141275954,1915548.8400000008,-4.656612873077393e-10,0.0,3.969397778179044,FAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-05-01,2025,5,2025-05,602,Revenues from services,Revenue,Sales Revenue,REVENUE,36622.0,8601212.22,10428833.26,234.86462290426522,36100.0,9487469.47,262.8107886426593,522.0,-27.946165738394086,137187.23167146815,-1023444.4816714682,-886257.25,1.1641532182693481e-10,0.0,1.8365011038011791,UNFAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-06-01,2025,6,2025-06,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31905.0,8987331.93,9470392.13,281.69039116126,32322.0,7745502.49,239.63561939236433,-417.0,42.05477176889565,-99928.05328661593,1341757.4932866157,1241829.4399999995,-2.3283064365386963e-10,0.0,2.573317326648441,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-07-01,2025,7,2025-07,602,Revenues from services,Revenue,Sales Revenue,REVENUE,36923.0,9451286.13,10034392.51,255.9728659643041,32044.0,9155108.3,285.7042909749095,4879.0,-29.731425010605392,1393951.2356665835,-1097773.405666583,296177.8300000001,-4.656612873077393e-10,0.0,0.6137393084416947,UNFAVORABLE,FAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-08-01,2025,8,2025-08,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32800.0,8100050.69,8949825.55,246.9527649390244,34533.0,9468919.1,274.19914574465,-1733.0,-27.24638080562562,-475187.1195754785,-893681.2904245204,-1368868.4099999992,-3.4924596548080444e-10,0.0,2.83656731262121,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-09-01,2025,9,2025-09,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33434.0,6783694.34,10099200.66,202.89807800442662,31287.0,7948529.02,254.05213091699426,2147.0,-51.154052912567636,545449.9250787867,-1710284.6050787864,-1164834.6799999997,0.0,0.0,2.4137688865912157,UNFAVORABLE,FAVORABLE,NEUTRAL,YOY_SAME_MONTH,ACCOUNT
2025-10-01,2025,10,2025-10,602,Revenues from services,Revenue,Sales Revenue,REVENUE,35577.0,9119710.61,10423269.33,256.3372574978216,34453.0,8801853.9,255.4742373668476,1124.0,0.8630201309740073,287153.0428003367,30703.667199662257,317856.70999999903,4.729372449219227e-11,0.0,0.658662254966726,FAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-11-01,2025,11,2025-11,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31649.0,8980316.51,8980316.51,283.74724351480296,31481.0,7265836.79,230.80069851656555,168.0,52.946544998237414,38774.51735078301,1675705.202649216,1714479.7199999997,6.984919309616089e-10,0.0,3.552742613078467,FAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2025-12-01,2025,12,2025-12,602,Revenues from services,Revenue,Sales Revenue,REVENUE,36028.0,9611169.76,9785616.9,266.7694504274453,32231.0,7964971.76,247.1214594644907,3797.0,19.647990962954594,938320.1815866712,707877.8184133281,1646198.0,6.984919309616089e-10,0.0,3.4112493230101006,FAVORABLE,FAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2026-01-01,2026,1,2026-01,602,Revenues from services,Revenue,Sales Revenue,REVENUE,34267.0,8927771.37,9934633.65,260.5355406075816,36053.0,9239318.18,256.2704401852828,-1786.0,4.265100422298815,-457699.00617091503,146152.1961709135,-311546.8100000005,1.0186340659856796e-09,0.0,0.6455868885142967,FAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2026-02-01,2026,2,2026-02,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31029.0,8146988.4,8522954.8,262.56045634728804,31039.0,8741509.86,281.62988047295335,-10.0,-19.069424125665307,-2816.2988047295335,-591705.1611952689,-594521.459999999,-6.984919309616089e-10,0.0,1.231966584785046,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2026-03-01,2026,3,2026-03,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33496.0,9927117.87,10445288.61,296.36726385240024,34368.0,7923162.35,230.5389417481378,-872.0,65.82832210426244,-201029.95720437617,2204985.4772043745,2003955.5199999996,1.3969838619232178e-09,2.3283064365386963e-10,4.152593983799246,FAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2026-04-01,2026,4,2026-04,602,Revenues from services,Revenue,Sales Revenue,REVENUE,33666.0,9337074.62,9337074.62,277.3443420661795,35054.0,9840653.56,280.72840645860674,-1388.0,-3.3840643924272626,-389651.0281645462,-113927.91183545622,-503578.94000000134,1.0622898116707802e-09,0.0,1.0435156148635514,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2026-05-01,2026,5,2026-05,602,Revenues from services,Revenue,Sales Revenue,REVENUE,32158.0,8761944.18,9128471.24,272.4654574289446,36622.0,8601212.22,234.86462290426522,-4464.0,37.600834524679385,-1048435.6766446399,1209167.6366446398,160731.95999999903,-6.984919309616089e-10,1.1641532182693481e-10,0.33306855538403235,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2026-06-01,2026,6,2026-06,602,Revenues from services,Revenue,Sales Revenue,REVENUE,31847.0,8753602.19,9119763.49,274.8642631959054,31905.0,8987331.93,281.69039116126,-58.0,-6.826127965354601,-16338.04268735308,-217391.69731264797,-233729.74000000022,8.149072527885437e-10,0.0,0.4843344587603238,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YOY_SAME_MONTH,ACCOUNT
2026-07-01,2026,7,2026-07,602,Revenues from services,Revenue,Sales Revenue,REVENUE,36095.0,8410710.02,10451387.98,233.0159307383294,36923.0,9451286.13,255.9728659643041,-828.0,-22.956935225974718,-211945.5330184438,-828630.5769815574,-1040576.1100000013,-1.1641532182693481e-10,-1.1641532182693481e-10,2.156280441828983,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
2026-08-01,2026,8,2026-08,602,Revenues from services,Revenue,Sales Revenue,REVENUE,9287.0,2359838.04,2359838.04,254.10122106169916,32800.0,8100050.69,246.9527649390244,-23513.0,7.148456122674759,-5806600.362011281,66387.71201128048,-5740212.65,-1.4551915228366852e-11,0.0,11.894861077614307,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YOY_SAME_MONTH,ACCOUNT
