customer_key,customer_code,customer_name,customer_type,country_code,city,industry,payment_terms,credit_limit,risk_category,active_from,active_to,is_active
40,CUST000040,Customer 000040,Government,CZ,Bratislava,Logistics,14,4828783.0,LOW,2020-01-01,2035-12-31,True
41,CUST000041,Customer 000041,Government,PL,Prague,Retail,60,4946198.0,HIGH,2020-01-01,2035-12-31,True
42,CUST000042,Customer 000042,Government,DE,Vienna,Healthcare,45,2052242.0,MEDIUM,2020-01-01,2035-12-31,True
43,CUST000043,Customer 000043,SME,SK,Vienna,Energy,45,658535.0,LOW,2020-01-01,2035-12-31,True
44,CUST000044,Customer 000044,SME,PL,Brno,Retail,30,4293668.0,MEDIUM,2020-01-01,2035-12-31,True
45,CUST000045,Customer 000045,Corporate,DE,Brno,Healthcare,45,2440647.0,LOW,2020-01-01,2035-12-31,True
46,CUST000046,Customer 000046,SME,PL,Vienna,Manufacturing,45,918946.0,LOW,2020-01-01,2035-12-31,True
47,CUST000047,Customer 000047,SME,CZ,Brno,Automotive,45,2413542.0,HIGH,2020-01-01,2035-12-31,True
48,CUST000048,Customer 000048,Corporate,DE,Bratislava,IT Services,60,2156557.0,LOW,2020-01-01,2035-12-31,True
49,CUST000049,Customer 000049,Corporate,AT,Vienna,Manufacturing,14,2848075.0,LOW,2020-01-01,2035-12-31,True
50,CUST000050,Customer 000050,Government,DE,Ostrava,Energy,60,4755227.0,LOW,2020-01-01,2035-12-31,True
51,CUST000051,Customer 000051,Corporate,CZ,Ostrava,Manufacturing,45,4936444.0,HIGH,2020-01-01,2035-12-31,True
52,CUST000052,Customer 000052,Corporate,AT,Ostrava,Manufacturing,45,3108918.0,LOW,2020-01-01,2035-12-31,True
53,CUST000053,Customer 000053,SME,SK,Bratislava,Retail,45,4746643.0,MEDIUM,2020-01-01,2035-12-31,True
54,CUST000054,Customer 000054,Government,SK,Bratislava,Automotive,30,3508576.0,LOW,2020-01-01,2035-12-31,True
55,CUST000055,Customer 000055,Corporate,DE,Berlin,Healthcare,45,1385448.0,HIGH,2020-01-01,2035-12-31,True
56,CUST000056,Customer 000056,Corporate,AT,Prague,Energy,30,1724138.0,MEDIUM,2020-01-01,2035-12-31,True
57,CUST000057,Customer 000057,SME,DE,Bratislava,Healthcare,14,1670090.0,MEDIUM,2020-01-01,2035-12-31,True
58,CUST000058,Customer 000058,SME,DE,Brno,IT Services,45,4323204.0,MEDIUM,2020-01-01,2035-12-31,True
59,CUST000059,Customer 000059,Government,PL,Warsaw,Manufacturing,14,2241231.0,LOW,2020-01-01,2035-12-31,True
60,CUST000060,Customer 000060,Government,DE,Prague,Retail,60,2949833.0,HIGH,2020-01-01,2035-12-31,True
61,CUST000061,Customer 000061,SME,AT,Brno,Logistics,30,2186767.0,LOW,2020-01-01,2035-12-31,True
62,CUST000062,Customer 000062,Government,AT,Prague,Healthcare,45,3667984.0,LOW,2020-01-01,2035-12-31,True
63,CUST000063,Customer 000063,Government,DE,Warsaw,Retail,45,4304051.0,MEDIUM,2020-01-01,2035-12-31,True
64,CUST000064,Customer 000064,Government,AT,Warsaw,Logistics,45,4700748.0,LOW,2020-01-01,2035-12-31,True
65,CUST000065,Customer 000065,Corporate,AT,Berlin,Automotive,45,3456405.0,HIGH,2020-01-01,2035-12-31,True
66,CUST000066,Customer 000066,Corporate,DE,Vienna,Healthcare,60,4915264.0,HIGH,2020-01-01,2035-12-31,True
67,CUST000067,Customer 000067,Government,DE,Munich,Energy,60,1842657.0,HIGH,2020-01-01,2035-12-31,True
68,CUST000068,Customer 000068,SME,SK,Brno,IT Services,45,833388.0,LOW,2020-01-01,2035-12-31,True
69,CUST000069,Customer 000069,Government,DE,Bratislava,Healthcare,30,254895.0,LOW,2020-01-01,2035-12-31,True
70,CUST000070,Customer 000070,Corporate,AT,Brno,Energy,60,4879077.0,LOW,2020-01-01,2035-12-31,True
71,CUST000071,Customer 000071,Government,AT,Munich,Logistics,30,1287918.0,HIGH,2020-01-01,2035-12-31,True
72,CUST000072,Customer 000072,Government,CZ,Brno,Logistics,30,1525444.0,HIGH,2020-01-01,2035-12-31,True
73,CUST000073,Customer 000073,Government,AT,Prague,Healthcare,14,3879079.0,LOW,2020-01-01,2035-12-31,True
74,CUST000074,Customer 000074,SME,PL,Warsaw,Energy,60,4645883.0,MEDIUM,2020-01-01,2035-12-31,True
75,CUST000075,Customer 000075,Corporate,AT,Munich,IT Services,30,2376256.0,HIGH,2020-01-01,2035-12-31,True
76,CUST000076,Customer 000076,SME,SK,Vienna,Energy,14,2446861.0,LOW,2020-01-01,2035-12-31,True
77,CUST000077,Customer 000077,SME,DE,Warsaw,Retail,30,1315259.0,LOW,2020-01-01,2035-12-31,True
78,CUST000078,Customer 000078,SME,SK,Bratislava,Retail,60,3469191.0,MEDIUM,2020-01-01,2035-12-31,True
79,CUST000079,Customer 000079,Government,AT,Berlin,Manufacturing,30,3574419.0,MEDIUM,2020-01-01,2035-12-31,True
80,CUST000080,Customer 000080,Government,CZ,Berlin,Energy,14,3000766.0,MEDIUM,2020-01-01,2035-12-31,True
81,CUST000081,Customer 000081,SME,AT,Bratislava,Energy,30,2339547.0,MEDIUM,2020-01-01,2035-12-31,True
82,CUST000082,Customer 000082,SME,CZ,Berlin,Construction,60,1434495.0,MEDIUM,2020-01-01,2035-12-31,True
83,CUST000083,Customer 000083,Corporate,PL,Prague,Logistics,14,754202.0,HIGH,2020-01-01,2035-12-31,True
84,CUST000084,Customer 000084,SME,SK,Munich,Automotive,14,2232349.0,MEDIUM,2020-01-01,2035-12-31,True
85,CUST000085,Customer 000085,SME,SK,Munich,Construction,45,3230341.0,MEDIUM,2020-01-01,2035-12-31,True
86,CUST000086,Customer 000086,SME,DE,Brno,Energy,14,4574974.0,LOW,2020-01-01,2035-12-31,True
87,CUST000087,Customer 000087,SME,SK,Brno,Manufacturing,14,2124362.0,LOW,2020-01-01,2035-12-31,True
88,CUST000088,Customer 000088,Corporate,PL,Ostrava,Healthcare,30,4022518.0,HIGH,2020-01-01,2035-12-31,True
89,CUST000089,Customer 000089,Corporate,PL,Bratislava,Energy,45,3144517.0,LOW,2020-01-01,2035-12-31,True
90,CUST000090,Customer 000090,Government,PL,Brno,Automotive,45,956798.0,HIGH,2020-01-01,2035-12-31,True
91,CUST000091,Customer 000091,Corporate,DE,Berlin,Logistics,30,687504.0,HIGH,2020-01-01,2035-12-31,True
92,CUST000092,Customer 000092,Government,SK,Brno,IT Services,14,4797386.0,LOW,2020-01-01,2035-12-31,True
93,CUST000093,Customer 000093,SME,PL,Berlin,Construction,14,4294306.0,HIGH,2020-01-01,2035-12-31,True
94,CUST000094,Customer 000094,SME,CZ,Berlin,Energy,14,3686657.0,MEDIUM,2020-01-01,2035-12-31,True
95,CUST000095,Customer 000095,Government,AT,Ostrava,Logistics,30,4426728.0,HIGH,2020-01-01,2035-12-31,True
96,CUST000096,Customer 000096,SME,PL,Munich,Energy,60,2301464.0,MEDIUM,2020-01-01,2035-12-31,True
97,CUST000097,Customer 000097,Corporate,CZ,Vienna,Energy,30,3948257.0,HIGH,2020-01-01,2035-12-31,True
98,CUST000098,Customer 000098,Government,AT,Warsaw,Manufacturing,60,2776416.0,LOW,2020-01-01,2035-12-31,True
99,CUST000099,Customer 000099,SME,SK,Warsaw,IT Services,45,2395945.0,HIGH,2020-01-01,2035-12-31,True
100,CUST000100,Customer 000100,Government,DE,Prague,Healthcare,14,2074641.0,HIGH,2020-01-01,2035-12-31,True
101,CUST000101,Customer 000101,SME,AT,Bratislava,Energy,60,3809560.0,LOW,2020-01-01,2035-12-31,True
102,CUST000102,Customer 000102,Corporate,DE,Bratislava,Logistics,30,2618642.0,HIGH,2020-01-01,2035-12-31,True
103,CUST000103,Customer 000103,Government,DE,Munich,Construction,60,4666993.0,MEDIUM,2020-01-01,2035-12-31,True
104,CUST000104,Customer 000104,SME,AT,Vienna,IT Services,45,1983893.0,LOW,2020-01-01,2035-12-31,True
105,CUST000105,Customer 000105,Government,SK,Warsaw,Retail,30,1656762.0,LOW,2020-01-01,2035-12-31,True
106,CUST000106,Customer 000106,Government,AT,Vienna,IT Services,14,1678376.0,MEDIUM,2020-01-01,2035-12-31,True
107,CUST000107,Customer 000107,Corporate,DE,Ostrava,IT Services,14,4530649.0,LOW,2020-01-01,2035-12-31,True
108,CUST000108,Customer 000108,SME,CZ,Prague,IT Services,30,4167788.0,LOW,2020-01-01,2035-12-31,True
109,CUST000109,Customer 000109,Corporate,PL,Vienna,Energy,60,3744920.0,MEDIUM,2020-01-01,2035-12-31,True
110,CUST000110,Customer 000110,Corporate,CZ,Vienna,Energy,14,598140.0,MEDIUM,2020-01-01,2035-12-31,True
111,CUST000111,Customer 000111,SME,CZ,Prague,Automotive,30,4771440.0,MEDIUM,2020-01-01,2035-12-31,True
112,CUST000112,Customer 000112,Corporate,SK,Brno,Logistics,30,4433656.0,MEDIUM,2020-01-01,2035-12-31,True
113,CUST000113,Customer 000113,SME,AT,Vienna,Logistics,45,4820009.0,HIGH,2020-01-01,2035-12-31,True
114,CUST000114,Customer 000114,Corporate,PL,Brno,Healthcare,30,2270012.0,HIGH,2020-01-01,2035-12-31,True
115,CUST000115,Customer 000115,Corporate,SK,Bratislava,Automotive,14,1363090.0,LOW,2020-01-01,2035-12-31,True
116,CUST000116,Customer 000116,SME,AT,Munich,IT Services,14,1991763.0,MEDIUM,2020-01-01,2035-12-31,True
117,CUST000117,Customer 000117,Government,DE,Munich,Retail,30,2269245.0,HIGH,2020-01-01,2035-12-31,True
118,CUST000118,Customer 000118,Government,SK,Berlin,Retail,30,1299813.0,MEDIUM,2020-01-01,2035-12-31,True
119,CUST000119,Customer 000119,Corporate,CZ,Prague,Automotive,45,4824854.0,MEDIUM,2020-01-01,2035-12-31,True
120,CUST000120,Customer 000120,SME,CZ,Munich,IT Services,60,2333766.0,HIGH,2020-01-01,2035-12-31,True
121,CUST000121,Customer 000121,Government,AT,Munich,Retail,14,3674119.0,HIGH,2020-01-01,2035-12-31,True
122,CUST000122,Customer 000122,SME,PL,Vienna,Manufacturing,14,1970357.0,HIGH,2020-01-01,2035-12-31,True
123,CUST000123,Customer 000123,Government,PL,Prague,IT Services,14,1519606.0,MEDIUM,2020-01-01,2035-12-31,True
124,CUST000124,Customer 000124,Government,AT,Vienna,Automotive,60,4174894.0,LOW,2020-01-01,2035-12-31,True
125,CUST000125,Customer 000125,SME,DE,Berlin,Construction,45,927447.0,LOW,2020-01-01,2035-12-31,True
126,CUST000126,Customer 000126,SME,AT,Munich,IT Services,60,4664544.0,LOW,2020-01-01,2035-12-31,True
127,CUST000127,Customer 000127,SME,CZ,Warsaw,IT Services,45,1022420.0,MEDIUM,2020-01-01,2035-12-31,True
128,CUST000128,Customer 000128,Government,CZ,Munich,Logistics,14,1623556.0,HIGH,2020-01-01,2035-12-31,True
129,CUST000129,Customer 000129,SME,PL,Munich,Energy,14,1757570.0,MEDIUM,2020-01-01,2035-12-31,True
130,CUST000130,Customer 000130,Government,SK,Vienna,Energy,60,1068595.0,LOW,2020-01-01,2035-12-31,True
131,CUST000131,Customer 000131,Government,PL,Bratislava,Automotive,45,4670772.0,LOW,2020-01-01,2035-12-31,True
132,CUST000132,Customer 000132,Government,AT,Brno,Healthcare,14,3920905.0,LOW,2020-01-01,2035-12-31,True
133,CUST000133,Customer 000133,Government,SK,Munich,IT Services,45,3535385.0,MEDIUM,2020-01-01,2035-12-31,True
134,CUST000134,Customer 000134,SME,SK,Munich,Automotive,60,1648955.0,HIGH,2020-01-01,2035-12-31,True
135,CUST000135,Customer 000135,Government,SK,Brno,IT Services,60,2901080.0,HIGH,2020-01-01,2035-12-31,True
136,CUST000136,Customer 000136,SME,CZ,Vienna,IT Services,60,1296508.0,MEDIUM,2020-01-01,2035-12-31,True
137,CUST000137,Customer 000137,Government,AT,Warsaw,Construction,60,3869707.0,MEDIUM,2020-01-01,2035-12-31,True
138,CUST000138,Customer 000138,Corporate,SK,Berlin,Healthcare,60,416140.0,MEDIUM,2020-01-01,2035-12-31,True
139,CUST000139,Customer 000139,Government,AT,Berlin,Logistics,30,4205117.0,LOW,2020-01-01,2035-12-31,True
140,CUST000140,Customer 000140,Corporate,PL,Warsaw,Retail,60,886442.0,HIGH,2020-01-01,2035-12-31,True
141,CUST000141,Customer 000141,SME,CZ,Ostrava,Logistics,30,677704.0,MEDIUM,2020-01-01,2035-12-31,True
142,CUST000142,Customer 000142,SME,DE,Berlin,Retail,45,4526348.0,MEDIUM,2020-01-01,2035-12-31,True
143,CUST000143,Customer 000143,SME,AT,Prague,Retail,30,2460709.0,LOW,2020-01-01,2035-12-31,True
144,CUST000144,Customer 000144,Government,CZ,Berlin,Retail,14,3771845.0,LOW,2020-01-01,2035-12-31,True
145,CUST000145,Customer 000145,Government,DE,Prague,Manufacturing,45,520762.0,MEDIUM,2020-01-01,2035-12-31,True
146,CUST000146,Customer 000146,SME,DE,Berlin,Automotive,30,4505746.0,MEDIUM,2020-01-01,2035-12-31,True
147,CUST000147,Customer 000147,Government,SK,Ostrava,Automotive,14,3259014.0,HIGH,2020-01-01,2035-12-31,True
148,CUST000148,Customer 000148,Government,SK,Munich,Automotive,30,3918405.0,HIGH,2020-01-01,2035-12-31,True
149,CUST000149,Customer 000149,SME,AT,Vienna,Manufacturing,60,2462829.0,HIGH,2020-01-01,2035-12-31,True
150,CUST000150,Customer 000150,Government,SK,Brno,Energy,45,4978908.0,MEDIUM,2020-01-01,2035-12-31,True
151,CUST000151,Customer 000151,Government,AT,Vienna,Energy,45,1721153.0,MEDIUM,2020-01-01,2035-12-31,True
152,CUST000152,Customer 000152,SME,CZ,Bratislava,Logistics,45,4871871.0,MEDIUM,2020-01-01,2035-12-31,True
153,CUST000153,Customer 000153,Government,DE,Prague,Logistics,45,117930.0,HIGH,2020-01-01,2035-12-31,True
154,CUST000154,Customer 000154,Government,CZ,Munich,IT Services,30,3005482.0,LOW,2020-01-01,2035-12-31,True
155,CUST000155,Customer 000155,Government,SK,Vienna,Automotive,14,380700.0,MEDIUM,2020-01-01,2035-12-31,True
156,CUST000156,Customer 000156,SME,CZ,Warsaw,Automotive,14,2525565.0,MEDIUM,2020-01-01,2035-12-31,True
157,CUST000157,Customer 000157,Government,AT,Ostrava,Healthcare,30,4574880.0,MEDIUM,2020-01-01,2035-12-31,True
158,CUST000158,Customer 000158,Government,PL,Vienna,Automotive,45,4092032.0,MEDIUM,2020-01-01,2035-12-31,True
159,CUST000159,Customer 000159,Government,DE,Brno,Energy,14,1230755.0,LOW,2020-01-01,2035-12-31,True
160,CUST000160,Customer 000160,Government,AT,Warsaw,Retail,60,166758.0,MEDIUM,2020-01-01,2035-12-31,True
161,CUST000161,Customer 000161,Government,CZ,Munich,Construction,45,4953645.0,MEDIUM,2020-01-01,2035-12-31,True
162,CUST000162,Customer 000162,Government,DE,Brno,Healthcare,60,259921.0,HIGH,2020-01-01,2035-12-31,True
163,CUST000163,Customer 000163,Government,DE,Bratislava,Retail,60,2584954.0,HIGH,2020-01-01,2035-12-31,True
164,CUST000164,Customer 000164,SME,CZ,Ostrava,Manufacturing,14,2603195.0,MEDIUM,2020-01-01,2035-12-31,True
165,CUST000165,Customer 000165,Corporate,CZ,Bratislava,Automotive,60,3855439.0,MEDIUM,2020-01-01,2035-12-31,True
166,CUST000166,Customer 000166,Government,PL,Berlin,Automotive,60,880653.0,MEDIUM,2020-01-01,2035-12-31,True
167,CUST000167,Customer 000167,Government,AT,Vienna,Manufacturing,45,1872590.0,MEDIUM,2020-01-01,2035-12-31,True
168,CUST000168,Customer 000168,SME,SK,Warsaw,Retail,45,4617310.0,HIGH,2020-01-01,2035-12-31,True
169,CUST000169,Customer 000169,SME,CZ,Berlin,IT Services,30,1074749.0,MEDIUM,2020-01-01,2035-12-31,True
170,CUST000170,Customer 000170,Corporate,SK,Prague,Manufacturing,45,2093203.0,LOW,2020-01-01,2035-12-31,True
171,CUST000171,Customer 000171,Government,SK,Brno,Healthcare,30,2004534.0,MEDIUM,2020-01-01,2035-12-31,True
172,CUST000172,Customer 000172,Corporate,PL,Prague,IT Services,30,1140453.0,HIGH,2020-01-01,2035-12-31,True
173,CUST000173,Customer 000173,SME,SK,Brno,Manufacturing,30,174657.0,MEDIUM,2020-01-01,2035-12-31,True
174,CUST000174,Customer 000174,Corporate,PL,Warsaw,Manufacturing,30,2276064.0,LOW,2020-01-01,2035-12-31,True
175,CUST000175,Customer 000175,Corporate,AT,Brno,Retail,60,3810405.0,MEDIUM,2020-01-01,2035-12-31,True
176,CUST000176,Customer 000176,Government,PL,Brno,Energy,30,413772.0,HIGH,2020-01-01,2035-12-31,True
177,CUST000177,Customer 000177,Government,PL,Vienna,Energy,14,560240.0,MEDIUM,2020-01-01,2035-12-31,True
178,CUST000178,Customer 000178,SME,AT,Brno,Energy,60,666484.0,LOW,2020-01-01,2035-12-31,True
179,CUST000179,Customer 000179,SME,PL,Ostrava,Retail,30,2357001.0,HIGH,2020-01-01,2035-12-31,True
180,CUST000180,Customer 000180,Government,PL,Warsaw,Logistics,45,3856040.0,HIGH,2020-01-01,2035-12-31,True
181,CUST000181,Customer 000181,Government,AT,Brno,Retail,30,3657688.0,MEDIUM,2020-01-01,2035-12-31,True
182,CUST000182,Customer 000182,Corporate,AT,Warsaw,Energy,60,3539574.0,HIGH,2020-01-01,2035-12-31,True
183,CUST000183,Customer 000183,Corporate,DE,Berlin,Construction,45,3189864.0,LOW,2020-01-01,2035-12-31,True
184,CUST000184,Customer 000184,Government,AT,Brno,Retail,14,832070.0,MEDIUM,2020-01-01,2035-12-31,True
185,CUST000185,Customer 000185,Corporate,DE,Ostrava,Manufacturing,45,1075350.0,MEDIUM,2020-01-01,2035-12-31,True
186,CUST000186,Customer 000186,SME,AT,Prague,IT Services,45,2999822.0,LOW,2020-01-01,2035-12-31,True
187,CUST000187,Customer 000187,Government,PL,Bratislava,Automotive,60,1931102.0,LOW,2020-01-01,2035-12-31,True
188,CUST000188,Customer 000188,SME,PL,Warsaw,Retail,45,4865899.0,LOW,2020-01-01,2035-12-31,True
189,CUST000189,Customer 000189,SME,PL,Prague,IT Services,14,1563439.0,MEDIUM,2020-01-01,2035-12-31,True
190,CUST000190,Customer 000190,Government,DE,Warsaw,Construction,14,1571740.0,LOW,2020-01-01,2035-12-31,True
191,CUST000191,Customer 000191,Government,AT,Brno,Automotive,14,819719.0,HIGH,2020-01-01,2035-12-31,True
192,CUST000192,Customer 000192,Government,SK,Berlin,Logistics,60,2909642.0,LOW,2020-01-01,2035-12-31,True
193,CUST000193,Customer 000193,SME,DE,Warsaw,Retail,14,1355098.0,LOW,2020-01-01,2035-12-31,True
194,CUST000194,Customer 000194,Government,CZ,Brno,IT Services,60,3606893.0,MEDIUM,2020-01-01,2035-12-31,True
195,CUST000195,Customer 000195,Government,AT,Berlin,IT Services,30,4347872.0,LOW,2020-01-01,2035-12-31,True
196,CUST000196,Customer 000196,SME,AT,Brno,IT Services,60,4470243.0,HIGH,2020-01-01,2035-12-31,True
197,CUST000197,Customer 000197,SME,CZ,Bratislava,Logistics,14,114483.0,LOW,2020-01-01,2035-12-31,True
198,CUST000198,Customer 000198,SME,SK,Ostrava,IT Services,45,2802489.0,LOW,2020-01-01,2035-12-31,True
199,CUST000199,Customer 000199,Corporate,AT,Berlin,Automotive,30,3239411.0,HIGH,2020-01-01,2035-12-31,True
200,CUST000200,Customer 000200,Government,SK,Warsaw,Retail,60,404857.0,MEDIUM,2020-01-01,2035-12-31,True
201,CUST000201,Customer 000201,Corporate,AT,Brno,Construction,60,4860025.0,MEDIUM,2020-01-01,2035-12-31,True
202,CUST000202,Customer 000202,Government,AT,Vienna,Retail,60,224957.0,MEDIUM,2020-01-01,2035-12-31,True
203,CUST000203,Customer 000203,Corporate,PL,Munich,Construction,14,3713403.0,LOW,2020-01-01,2035-12-31,True
204,CUST000204,Customer 000204,Corporate,AT,Berlin,Retail,60,2652771.0,HIGH,2020-01-01,2035-12-31,True
205,CUST000205,Customer 000205,SME,SK,Warsaw,Automotive,14,4332244.0,HIGH,2020-01-01,2035-12-31,True
206,CUST000206,Customer 000206,Corporate,PL,Bratislava,Construction,45,1288912.0,LOW,2020-01-01,2035-12-31,True
207,CUST000207,Customer 000207,Corporate,SK,Vienna,Healthcare,30,1332364.0,HIGH,2020-01-01,2035-12-31,True
208,CUST000208,Customer 000208,Corporate,SK,Munich,Energy,60,4785300.0,HIGH,2020-01-01,2035-12-31,True
209,CUST000209,Customer 000209,Government,PL,Warsaw,Construction,30,3738997.0,LOW,2020-01-01,2035-12-31,True
210,CUST000210,Customer 000210,SME,AT,Vienna,IT Services,14,3002305.0,HIGH,2020-01-01,2035-12-31,True
211,CUST000211,Customer 000211,Corporate,DE,Munich,Energy,14,527228.0,MEDIUM,2020-01-01,2035-12-31,True
212,CUST000212,Customer 000212,SME,CZ,Brno,Logistics,60,4918155.0,HIGH,2020-01-01,2035-12-31,True
213,CUST000213,Customer 000213,Government,CZ,Munich,Healthcare,45,4039865.0,HIGH,2020-01-01,2035-12-31,True
214,CUST000214,Customer 000214,Corporate,CZ,Munich,Retail,45,757404.0,HIGH,2020-01-01,2035-12-31,True
215,CUST000215,Customer 000215,Government,SK,Prague,Healthcare,60,3736137.0,HIGH,2020-01-01,2035-12-31,True
216,CUST000216,Customer 000216,Government,PL,Ostrava,Construction,45,2423083.0,MEDIUM,2020-01-01,2035-12-31,True
217,CUST000217,Customer 000217,SME,DE,Prague,Construction,14,2815646.0,LOW,2020-01-01,2035-12-31,True
218,CUST000218,Customer 000218,Government,AT,Vienna,IT Services,30,2846443.0,LOW,2020-01-01,2035-12-31,True
219,CUST000219,Customer 000219,Government,SK,Warsaw,IT Services,60,1131724.0,HIGH,2020-01-01,2035-12-31,True
220,CUST000220,Customer 000220,Government,CZ,Vienna,Logistics,45,1122011.0,HIGH,2020-01-01,2035-12-31,True
221,CUST000221,Customer 000221,Government,PL,Brno,Logistics,45,202928.0,MEDIUM,2020-01-01,2035-12-31,True
222,CUST000222,Customer 000222,SME,SK,Bratislava,Construction,60,1660656.0,LOW,2020-01-01,2035-12-31,True
223,CUST000223,Customer 000223,Corporate,SK,Brno,IT Services,14,4308809.0,HIGH,2020-01-01,2035-12-31,True
224,CUST000224,Customer 000224,Government,PL,Prague,Construction,30,3210155.0,LOW,2020-01-01,2035-12-31,True
225,CUST000225,Customer 000225,Corporate,SK,Ostrava,Energy,14,3496531.0,MEDIUM,2020-01-01,2035-12-31,True
226,CUST000226,Customer 000226,Government,SK,Munich,IT Services,60,2012958.0,HIGH,2020-01-01,2035-12-31,True
227,CUST000227,Customer 000227,Corporate,DE,Munich,Healthcare,45,4835024.0,MEDIUM,2020-01-01,2035-12-31,True
228,CUST000228,Customer 000228,SME,DE,Berlin,Logistics,30,1725185.0,HIGH,2020-01-01,2035-12-31,True
