supplier_code,supplier_name,country_code,city,payment_terms,vat_number,active
SUP000069,Supplier 000069,CZ,Ostrava,60,CZ100000069,True
SUP000070,Supplier 000070,CZ,Ostrava,45,CZ100000070,True
SUP000071,Supplier 000071,AT,Vienna,30,AT100000071,True
SUP000072,Supplier 000072,SK,Bratislava,45,SK100000072,True
SUP000073,Supplier 000073,AT,Vienna,45,AT100000073,True
SUP000074,Supplier 000074,PL,Warsaw,60,PL100000074,True
SUP000075,Supplier 000075,CZ,Brno,30,CZ100000075,True
SUP000076,Supplier 000076,SK,Bratislava,14,SK100000076,True
SUP000077,Supplier 000077,DE,Berlin,14,DE100000077,True
SUP000078,Supplier 000078,SK,Bratislava,30,SK100000078,True
SUP000079,Supplier 000079,CZ,Prague,14,CZ100000079,True
SUP000080,Supplier 000080,CZ,Prague,30,CZ100000080,True
SUP000081,Supplier 000081,CZ,Brno,14,CZ100000081,True
SUP000082,Supplier 000082,DE,Berlin,14,DE100000082,True
SUP000083,Supplier 000083,SK,Bratislava,45,SK100000083,True
SUP000084,Supplier 000084,PL,Warsaw,30,PL100000084,True
SUP000085,Supplier 000085,CZ,Ostrava,60,CZ100000085,True
SUP000086,Supplier 000086,SK,Bratislava,60,SK100000086,True
SUP000087,Supplier 000087,AT,Vienna,30,AT100000087,True
SUP000088,Supplier 000088,CZ,Brno,14,CZ100000088,True
SUP000089,Supplier 000089,AT,Vienna,45,AT100000089,True
SUP000090,Supplier 000090,AT,Vienna,60,AT100000090,True
SUP000091,Supplier 000091,PL,Warsaw,14,PL100000091,True
SUP000092,Supplier 000092,CZ,Brno,14,CZ100000092,True
SUP000093,Supplier 000093,AT,Vienna,45,AT100000093,True
SUP000094,Supplier 000094,CZ,Brno,30,CZ100000094,True
SUP000095,Supplier 000095,SK,Bratislava,30,SK100000095,True
SUP000096,Supplier 000096,PL,Warsaw,30,PL100000096,True
SUP000097,Supplier 000097,AT,Vienna,30,AT100000097,True
SUP000098,Supplier 000098,DE,Munich,60,DE100000098,True
SUP000099,Supplier 000099,SK,Bratislava,14,SK100000099,True
SUP000100,Supplier 000100,PL,Warsaw,14,PL100000100,True
SUP000101,Supplier 000101,CZ,Prague,14,CZ100000101,True
SUP000102,Supplier 000102,CZ,Brno,30,CZ100000102,True
SUP000103,Supplier 000103,CZ,Ostrava,60,CZ100000103,True
SUP000104,Supplier 000104,PL,Warsaw,60,PL100000104,True
SUP000105,Supplier 000105,SK,Bratislava,60,SK100000105,True
SUP000106,Supplier 000106,CZ,Prague,30,CZ100000106,True
SUP000107,Supplier 000107,AT,Vienna,14,AT100000107,True
SUP000108,Supplier 000108,AT,Vienna,45,AT100000108,True
SUP000109,Supplier 000109,PL,Warsaw,45,PL100000109,True
SUP000110,Supplier 000110,AT,Vienna,60,AT100000110,True
SUP000111,Supplier 000111,CZ,Ostrava,30,CZ100000111,True
SUP000112,Supplier 000112,DE,Munich,30,DE100000112,True
SUP000113,Supplier 000113,CZ,Prague,14,CZ100000113,True
SUP000114,Supplier 000114,DE,Berlin,14,DE100000114,True
SUP000115,Supplier 000115,CZ,Prague,60,CZ100000115,True
SUP000116,Supplier 000116,CZ,Ostrava,14,CZ100000116,True
SUP000117,Supplier 000117,CZ,Brno,30,CZ100000117,True
SUP000118,Supplier 000118,CZ,Brno,14,CZ100000118,True
SUP000119,Supplier 000119,SK,Bratislava,60,SK100000119,True
SUP000120,Supplier 000120,CZ,Brno,30,CZ100000120,True
SUP000121,Supplier 000121,CZ,Prague,14,CZ100000121,True
SUP000122,Supplier 000122,AT,Vienna,45,AT100000122,True
SUP000123,Supplier 000123,DE,Munich,30,DE100000123,True
SUP000124,Supplier 000124,DE,Berlin,30,DE100000124,True
SUP000125,Supplier 000125,DE,Munich,60,DE100000125,True
SUP000126,Supplier 000126,CZ,Ostrava,45,CZ100000126,True
SUP000127,Supplier 000127,PL,Warsaw,45,PL100000127,True
SUP000128,Supplier 000128,CZ,Brno,14,CZ100000128,True
SUP000129,Supplier 000129,PL,Warsaw,14,PL100000129,True
SUP000130,Supplier 000130,CZ,Brno,30,CZ100000130,True
SUP000131,Supplier 000131,DE,Munich,30,DE100000131,True
SUP000132,Supplier 000132,DE,Berlin,14,DE100000132,True
SUP000133,Supplier 000133,SK,Bratislava,45,SK100000133,True
SUP000134,Supplier 000134,DE,Munich,30,DE100000134,True
SUP000135,Supplier 000135,PL,Warsaw,45,PL100000135,True
SUP000136,Supplier 000136,CZ,Prague,45,CZ100000136,True
SUP000137,Supplier 000137,CZ,Brno,30,CZ100000137,True
SUP000138,Supplier 000138,DE,Munich,14,DE100000138,True
SUP000139,Supplier 000139,CZ,Brno,30,CZ100000139,True
SUP000140,Supplier 000140,DE,Munich,45,DE100000140,True
SUP000141,Supplier 000141,SK,Bratislava,45,SK100000141,True
SUP000142,Supplier 000142,SK,Bratislava,45,SK100000142,True
SUP000143,Supplier 000143,PL,Warsaw,45,PL100000143,True
SUP000144,Supplier 000144,CZ,Prague,14,CZ100000144,True
SUP000145,Supplier 000145,AT,Vienna,45,AT100000145,True
SUP000146,Supplier 000146,CZ,Prague,14,CZ100000146,True
SUP000147,Supplier 000147,DE,Berlin,30,DE100000147,True
SUP000148,Supplier 000148,DE,Munich,30,DE100000148,True
SUP000149,Supplier 000149,PL,Warsaw,60,PL100000149,True
SUP000150,Supplier 000150,CZ,Prague,14,CZ100000150,True
SUP000151,Supplier 000151,CZ,Brno,30,CZ100000151,True
SUP000152,Supplier 000152,CZ,Prague,45,CZ100000152,True
SUP000153,Supplier 000153,CZ,Ostrava,60,CZ100000153,True
SUP000154,Supplier 000154,CZ,Ostrava,14,CZ100000154,True
SUP000155,Supplier 000155,DE,Munich,45,DE100000155,True
SUP000156,Supplier 000156,CZ,Prague,45,CZ100000156,True
SUP000157,Supplier 000157,SK,Bratislava,30,SK100000157,True
SUP000158,Supplier 000158,CZ,Brno,45,CZ100000158,True
SUP000159,Supplier 000159,AT,Vienna,30,AT100000159,True
SUP000160,Supplier 000160,SK,Bratislava,30,SK100000160,True
SUP000161,Supplier 000161,CZ,Ostrava,60,CZ100000161,True
SUP000162,Supplier 000162,CZ,Prague,30,CZ100000162,True
SUP000163,Supplier 000163,DE,Berlin,60,DE100000163,True
SUP000164,Supplier 000164,SK,Bratislava,45,SK100000164,True
SUP000165,Supplier 000165,CZ,Ostrava,14,CZ100000165,True
SUP000166,Supplier 000166,AT,Vienna,14,AT100000166,True
SUP000167,Supplier 000167,PL,Warsaw,30,PL100000167,True
SUP000168,Supplier 000168,SK,Bratislava,60,SK100000168,True
SUP000169,Supplier 000169,DE,Berlin,45,DE100000169,True
SUP000170,Supplier 000170,SK,Bratislava,30,SK100000170,True
SUP000171,Supplier 000171,CZ,Prague,30,CZ100000171,True
SUP000172,Supplier 000172,AT,Vienna,45,AT100000172,True
SUP000173,Supplier 000173,DE,Munich,14,DE100000173,True
SUP000174,Supplier 000174,DE,Munich,45,DE100000174,True
SUP000175,Supplier 000175,AT,Vienna,45,AT100000175,True
SUP000176,Supplier 000176,CZ,Prague,14,CZ100000176,True
SUP000177,Supplier 000177,DE,Munich,30,DE100000177,True
SUP000178,Supplier 000178,DE,Munich,14,DE100000178,True
SUP000179,Supplier 000179,CZ,Brno,60,CZ100000179,True
SUP000180,Supplier 000180,DE,Berlin,45,DE100000180,True
SUP000181,Supplier 000181,AT,Vienna,14,AT100000181,True
SUP000182,Supplier 000182,AT,Vienna,30,AT100000182,True
SUP000183,Supplier 000183,DE,Munich,14,DE100000183,True
SUP000184,Supplier 000184,AT,Vienna,14,AT100000184,True
SUP000185,Supplier 000185,SK,Bratislava,45,SK100000185,True
SUP000186,Supplier 000186,AT,Vienna,14,AT100000186,True
SUP000187,Supplier 000187,DE,Berlin,45,DE100000187,True
SUP000188,Supplier 000188,CZ,Brno,45,CZ100000188,True
SUP000189,Supplier 000189,DE,Munich,60,DE100000189,True
SUP000190,Supplier 000190,DE,Berlin,60,DE100000190,True
SUP000191,Supplier 000191,DE,Munich,30,DE100000191,True
SUP000192,Supplier 000192,SK,Bratislava,60,SK100000192,True
SUP000193,Supplier 000193,AT,Vienna,30,AT100000193,True
SUP000194,Supplier 000194,DE,Munich,60,DE100000194,True
SUP000195,Supplier 000195,CZ,Prague,45,CZ100000195,True
SUP000196,Supplier 000196,DE,Munich,30,DE100000196,True
SUP000197,Supplier 000197,AT,Vienna,45,AT100000197,True
SUP000198,Supplier 000198,PL,Warsaw,60,PL100000198,True
SUP000199,Supplier 000199,PL,Warsaw,30,PL100000199,True
SUP000200,Supplier 000200,PL,Warsaw,30,PL100000200,True
SUP000201,Supplier 000201,CZ,Brno,45,CZ100000201,True
SUP000202,Supplier 000202,DE,Berlin,14,DE100000202,True
SUP000203,Supplier 000203,SK,Bratislava,45,SK100000203,True
SUP000204,Supplier 000204,SK,Bratislava,30,SK100000204,True
SUP000205,Supplier 000205,CZ,Ostrava,14,CZ100000205,True
SUP000206,Supplier 000206,CZ,Prague,30,CZ100000206,True
SUP000207,Supplier 000207,PL,Warsaw,14,PL100000207,True
SUP000208,Supplier 000208,PL,Warsaw,60,PL100000208,True
SUP000209,Supplier 000209,SK,Bratislava,60,SK100000209,True
SUP000210,Supplier 000210,PL,Warsaw,60,PL100000210,True
SUP000211,Supplier 000211,SK,Bratislava,30,SK100000211,True
SUP000212,Supplier 000212,CZ,Prague,14,CZ100000212,True
SUP000213,Supplier 000213,AT,Vienna,30,AT100000213,True
SUP000214,Supplier 000214,CZ,Ostrava,60,CZ100000214,True
SUP000215,Supplier 000215,CZ,Prague,30,CZ100000215,True
SUP000216,Supplier 000216,CZ,Brno,60,CZ100000216,True
SUP000217,Supplier 000217,CZ,Ostrava,60,CZ100000217,True
SUP000218,Supplier 000218,DE,Berlin,60,DE100000218,True
SUP000219,Supplier 000219,AT,Vienna,60,AT100000219,True
SUP000220,Supplier 000220,CZ,Ostrava,60,CZ100000220,True
SUP000221,Supplier 000221,PL,Warsaw,45,PL100000221,True
SUP000222,Supplier 000222,SK,Bratislava,45,SK100000222,True
SUP000223,Supplier 000223,PL,Warsaw,30,PL100000223,True
SUP000224,Supplier 000224,DE,Munich,60,DE100000224,True
SUP000225,Supplier 000225,CZ,Brno,45,CZ100000225,True
SUP000226,Supplier 000226,SK,Bratislava,45,SK100000226,True
SUP000227,Supplier 000227,DE,Berlin,45,DE100000227,True
SUP000228,Supplier 000228,CZ,Brno,30,CZ100000228,True
SUP000229,Supplier 000229,CZ,Ostrava,30,CZ100000229,True
SUP000230,Supplier 000230,AT,Vienna,30,AT100000230,True
SUP000231,Supplier 000231,SK,Bratislava,14,SK100000231,True
SUP000232,Supplier 000232,AT,Vienna,60,AT100000232,True
SUP000233,Supplier 000233,DE,Berlin,60,DE100000233,True
SUP000234,Supplier 000234,AT,Vienna,14,AT100000234,True
SUP000235,Supplier 000235,SK,Bratislava,60,SK100000235,True
SUP000236,Supplier 000236,AT,Vienna,14,AT100000236,True
SUP000237,Supplier 000237,AT,Vienna,60,AT100000237,True
SUP000238,Supplier 000238,CZ,Prague,45,CZ100000238,True
SUP000239,Supplier 000239,DE,Munich,60,DE100000239,True
SUP000240,Supplier 000240,AT,Vienna,30,AT100000240,True
SUP000241,Supplier 000241,PL,Warsaw,30,PL100000241,True
SUP000242,Supplier 000242,DE,Munich,60,DE100000242,True
SUP000243,Supplier 000243,PL,Warsaw,14,PL100000243,True
SUP000244,Supplier 000244,AT,Vienna,45,AT100000244,True
SUP000245,Supplier 000245,AT,Vienna,30,AT100000245,True
SUP000246,Supplier 000246,PL,Warsaw,30,PL100000246,True
SUP000247,Supplier 000247,CZ,Prague,60,CZ100000247,True
SUP000248,Supplier 000248,CZ,Prague,14,CZ100000248,True
SUP000249,Supplier 000249,AT,Vienna,30,AT100000249,True
SUP000250,Supplier 000250,PL,Warsaw,30,PL100000250,True
SUP000251,Supplier 000251,CZ,Prague,45,CZ100000251,True
SUP000252,Supplier 000252,AT,Vienna,45,AT100000252,True
SUP000253,Supplier 000253,SK,Bratislava,60,SK100000253,True
SUP000254,Supplier 000254,DE,Berlin,45,DE100000254,True
SUP000255,Supplier 000255,AT,Vienna,45,AT100000255,True
SUP000256,Supplier 000256,AT,Vienna,45,AT100000256,True
SUP000257,Supplier 000257,CZ,Brno,60,CZ100000257,True
SUP000258,Supplier 000258,CZ,Prague,14,CZ100000258,True
SUP000259,Supplier 000259,DE,Berlin,30,DE100000259,True
SUP000260,Supplier 000260,CZ,Brno,14,CZ100000260,True
SUP000261,Supplier 000261,CZ,Prague,30,CZ100000261,True
SUP000262,Supplier 000262,SK,Bratislava,14,SK100000262,True
SUP000263,Supplier 000263,CZ,Ostrava,30,CZ100000263,True
SUP000264,Supplier 000264,CZ,Ostrava,60,CZ100000264,True
SUP000265,Supplier 000265,CZ,Brno,30,CZ100000265,True
SUP000266,Supplier 000266,PL,Warsaw,45,PL100000266,True
SUP000267,Supplier 000267,DE,Berlin,30,DE100000267,True
SUP000268,Supplier 000268,CZ,Brno,30,CZ100000268,True
SUP000269,Supplier 000269,DE,Munich,14,DE100000269,True
SUP000270,Supplier 000270,CZ,Prague,45,CZ100000270,True
SUP000271,Supplier 000271,AT,Vienna,60,AT100000271,True
SUP000272,Supplier 000272,SK,Bratislava,14,SK100000272,True
SUP000273,Supplier 000273,SK,Bratislava,14,SK100000273,True
SUP000274,Supplier 000274,DE,Munich,14,DE100000274,True
SUP000275,Supplier 000275,CZ,Prague,45,CZ100000275,True
SUP000276,Supplier 000276,AT,Vienna,45,AT100000276,True
SUP000277,Supplier 000277,CZ,Brno,45,CZ100000277,True
SUP000278,Supplier 000278,CZ,Prague,60,CZ100000278,True
SUP000279,Supplier 000279,PL,Warsaw,14,PL100000279,True
SUP000280,Supplier 000280,AT,Vienna,45,AT100000280,True
SUP000281,Supplier 000281,PL,Warsaw,30,PL100000281,True
SUP000282,Supplier 000282,AT,Vienna,30,AT100000282,True
SUP000283,Supplier 000283,DE,Munich,60,DE100000283,True
SUP000284,Supplier 000284,PL,Warsaw,60,PL100000284,True
SUP000285,Supplier 000285,DE,Munich,45,DE100000285,True
SUP000286,Supplier 000286,SK,Bratislava,14,SK100000286,True
SUP000287,Supplier 000287,DE,Munich,60,DE100000287,True
SUP000288,Supplier 000288,SK,Bratislava,60,SK100000288,True
SUP000289,Supplier 000289,AT,Vienna,45,AT100000289,True
SUP000290,Supplier 000290,CZ,Prague,60,CZ100000290,True
SUP000291,Supplier 000291,DE,Berlin,30,DE100000291,True
SUP000292,Supplier 000292,PL,Warsaw,30,PL100000292,True
SUP000293,Supplier 000293,DE,Berlin,45,DE100000293,True
SUP000294,Supplier 000294,DE,Berlin,45,DE100000294,True
SUP000295,Supplier 000295,DE,Munich,14,DE100000295,True
SUP000296,Supplier 000296,SK,Bratislava,14,SK100000296,True
SUP000297,Supplier 000297,SK,Bratislava,60,SK100000297,True
SUP000298,Supplier 000298,PL,Warsaw,30,PL100000298,True
SUP000299,Supplier 000299,PL,Warsaw,60,PL100000299,True
SUP000300,Supplier 000300,PL,Warsaw,14,PL100000300,True
SUP000301,Supplier 000301,CZ,Brno,45,CZ100000301,True
SUP000302,Supplier 000302,SK,Bratislava,60,SK100000302,True
SUP000303,Supplier 000303,SK,Bratislava,45,SK100000303,True
SUP000304,Supplier 000304,DE,Berlin,60,DE100000304,True
SUP000305,Supplier 000305,DE,Berlin,60,DE100000305,True
SUP000306,Supplier 000306,DE,Berlin,45,DE100000306,True
SUP000307,Supplier 000307,PL,Warsaw,45,PL100000307,True
SUP000308,Supplier 000308,DE,Munich,45,DE100000308,True
SUP000309,Supplier 000309,SK,Bratislava,14,SK100000309,True
SUP000310,Supplier 000310,SK,Bratislava,45,SK100000310,True
SUP000311,Supplier 000311,CZ,Brno,30,CZ100000311,True
SUP000312,Supplier 000312,SK,Bratislava,30,SK100000312,True
SUP000313,Supplier 000313,PL,Warsaw,45,PL100000313,True
SUP000314,Supplier 000314,DE,Munich,14,DE100000314,True
SUP000315,Supplier 000315,SK,Bratislava,45,SK100000315,True
SUP000316,Supplier 000316,SK,Bratislava,45,SK100000316,True
SUP000317,Supplier 000317,CZ,Ostrava,45,CZ100000317,True
SUP000318,Supplier 000318,CZ,Prague,30,CZ100000318,True
SUP000319,Supplier 000319,DE,Munich,14,DE100000319,True
SUP000320,Supplier 000320,CZ,Prague,45,CZ100000320,True
SUP000321,Supplier 000321,CZ,Ostrava,60,CZ100000321,True
SUP000322,Supplier 000322,CZ,Brno,14,CZ100000322,True
SUP000323,Supplier 000323,DE,Munich,60,DE100000323,True
SUP000324,Supplier 000324,PL,Warsaw,60,PL100000324,True
SUP000325,Supplier 000325,DE,Berlin,30,DE100000325,True
SUP000326,Supplier 000326,CZ,Prague,45,CZ100000326,True
SUP000327,Supplier 000327,PL,Warsaw,14,PL100000327,True
SUP000328,Supplier 000328,CZ,Brno,60,CZ100000328,True
SUP000329,Supplier 000329,PL,Warsaw,14,PL100000329,True
SUP000330,Supplier 000330,CZ,Prague,30,CZ100000330,True
SUP000331,Supplier 000331,CZ,Ostrava,45,CZ100000331,True
SUP000332,Supplier 000332,CZ,Brno,30,CZ100000332,True
SUP000333,Supplier 000333,CZ,Brno,60,CZ100000333,True
SUP000334,Supplier 000334,SK,Bratislava,60,SK100000334,True
SUP000335,Supplier 000335,PL,Warsaw,60,PL100000335,True
SUP000336,Supplier 000336,DE,Munich,60,DE100000336,True
SUP000337,Supplier 000337,DE,Munich,14,DE100000337,True
SUP000338,Supplier 000338,CZ,Brno,30,CZ100000338,True
SUP000339,Supplier 000339,SK,Bratislava,45,SK100000339,True
SUP000340,Supplier 000340,CZ,Brno,30,CZ100000340,True
SUP000341,Supplier 000341,SK,Bratislava,30,SK100000341,True
SUP000342,Supplier 000342,CZ,Brno,30,CZ100000342,True
SUP000343,Supplier 000343,CZ,Prague,60,CZ100000343,True
SUP000344,Supplier 000344,PL,Warsaw,60,PL100000344,True
SUP000345,Supplier 000345,DE,Munich,14,DE100000345,True
SUP000346,Supplier 000346,SK,Bratislava,45,SK100000346,True
SUP000347,Supplier 000347,DE,Munich,60,DE100000347,True
SUP000348,Supplier 000348,CZ,Brno,30,CZ100000348,True
SUP000349,Supplier 000349,DE,Munich,30,DE100000349,True
SUP000350,Supplier 000350,AT,Vienna,14,AT100000350,True
SUP000351,Supplier 000351,SK,Bratislava,30,SK100000351,True
SUP000352,Supplier 000352,DE,Munich,30,DE100000352,True
SUP000353,Supplier 000353,CZ,Brno,14,CZ100000353,True
SUP000354,Supplier 000354,CZ,Ostrava,45,CZ100000354,True
SUP000355,Supplier 000355,DE,Munich,60,DE100000355,True
SUP000356,Supplier 000356,CZ,Brno,60,CZ100000356,True
SUP000357,Supplier 000357,DE,Munich,60,DE100000357,True
SUP000358,Supplier 000358,DE,Munich,60,DE100000358,True
SUP000359,Supplier 000359,PL,Warsaw,14,PL100000359,True
SUP000360,Supplier 000360,CZ,Prague,60,CZ100000360,True
SUP000361,Supplier 000361,DE,Berlin,45,DE100000361,True
SUP000362,Supplier 000362,CZ,Prague,14,CZ100000362,True
SUP000363,Supplier 000363,SK,Bratislava,14,SK100000363,True
SUP000364,Supplier 000364,DE,Munich,14,DE100000364,True
SUP000365,Supplier 000365,CZ,Ostrava,60,CZ100000365,True
SUP000366,Supplier 000366,PL,Warsaw,45,PL100000366,True
SUP000367,Supplier 000367,CZ,Ostrava,60,CZ100000367,True
SUP000368,Supplier 000368,PL,Warsaw,14,PL100000368,True
SUP000369,Supplier 000369,PL,Warsaw,45,PL100000369,True
SUP000370,Supplier 000370,AT,Vienna,45,AT100000370,True
SUP000371,Supplier 000371,DE,Berlin,14,DE100000371,True
SUP000372,Supplier 000372,CZ,Ostrava,45,CZ100000372,True
SUP000373,Supplier 000373,AT,Vienna,60,AT100000373,True
SUP000374,Supplier 000374,DE,Munich,60,DE100000374,True
SUP000375,Supplier 000375,CZ,Prague,60,CZ100000375,True
SUP000376,Supplier 000376,CZ,Brno,45,CZ100000376,True
SUP000377,Supplier 000377,DE,Munich,45,DE100000377,True
SUP000378,Supplier 000378,CZ,Brno,60,CZ100000378,True
SUP000379,Supplier 000379,CZ,Prague,60,CZ100000379,True
SUP000380,Supplier 000380,AT,Vienna,14,AT100000380,True
SUP000381,Supplier 000381,SK,Bratislava,45,SK100000381,True
SUP000382,Supplier 000382,PL,Warsaw,60,PL100000382,True
SUP000383,Supplier 000383,CZ,Prague,30,CZ100000383,True
SUP000384,Supplier 000384,DE,Munich,30,DE100000384,True
SUP000385,Supplier 000385,DE,Munich,60,DE100000385,True
SUP000386,Supplier 000386,PL,Warsaw,14,PL100000386,True
SUP000387,Supplier 000387,CZ,Prague,30,CZ100000387,True
SUP000388,Supplier 000388,CZ,Ostrava,45,CZ100000388,True
SUP000389,Supplier 000389,CZ,Prague,60,CZ100000389,True
SUP000390,Supplier 000390,CZ,Brno,30,CZ100000390,True
SUP000391,Supplier 000391,CZ,Brno,60,CZ100000391,True
SUP000392,Supplier 000392,CZ,Brno,30,CZ100000392,True
SUP000393,Supplier 000393,PL,Warsaw,45,PL100000393,True
SUP000394,Supplier 000394,DE,Munich,60,DE100000394,True
SUP000395,Supplier 000395,PL,Warsaw,60,PL100000395,True
SUP000396,Supplier 000396,SK,Bratislava,60,SK100000396,True
SUP000397,Supplier 000397,CZ,Ostrava,60,CZ100000397,True
SUP000398,Supplier 000398,SK,Bratislava,30,SK100000398,True
SUP000399,Supplier 000399,CZ,Brno,45,CZ100000399,True
SUP000400,Supplier 000400,AT,Vienna,45,AT100000400,True
SUP000401,Supplier 000401,DE,Munich,14,DE100000401,True
SUP000402,Supplier 000402,DE,Munich,45,DE100000402,True
SUP000403,Supplier 000403,PL,Warsaw,30,PL100000403,True
SUP000404,Supplier 000404,PL,Warsaw,60,PL100000404,True
SUP000405,Supplier 000405,DE,Berlin,45,DE100000405,True
SUP000406,Supplier 000406,AT,Vienna,60,AT100000406,True
SUP000407,Supplier 000407,DE,Berlin,30,DE100000407,True
SUP000408,Supplier 000408,SK,Bratislava,60,SK100000408,True
SUP000409,Supplier 000409,SK,Bratislava,60,SK100000409,True
SUP000410,Supplier 000410,CZ,Prague,45,CZ100000410,True
SUP000411,Supplier 000411,PL,Warsaw,60,PL100000411,True
SUP000412,Supplier 000412,AT,Vienna,30,AT100000412,True
SUP000413,Supplier 000413,PL,Warsaw,14,PL100000413,True
SUP000414,Supplier 000414,CZ,Ostrava,45,CZ100000414,True
SUP000415,Supplier 000415,CZ,Brno,60,CZ100000415,True
SUP000416,Supplier 000416,CZ,Brno,60,CZ100000416,True
SUP000417,Supplier 000417,CZ,Prague,30,CZ100000417,True
SUP000418,Supplier 000418,AT,Vienna,30,AT100000418,True
SUP000419,Supplier 000419,CZ,Brno,60,CZ100000419,True
SUP000420,Supplier 000420,DE,Munich,45,DE100000420,True
SUP000421,Supplier 000421,AT,Vienna,14,AT100000421,True
SUP000422,Supplier 000422,DE,Berlin,60,DE100000422,True
SUP000423,Supplier 000423,DE,Berlin,60,DE100000423,True
SUP000424,Supplier 000424,CZ,Prague,14,CZ100000424,True
SUP000425,Supplier 000425,SK,Bratislava,45,SK100000425,True
SUP000426,Supplier 000426,SK,Bratislava,14,SK100000426,True
